大妖狐とですわ姫,"Map257.json,events,1,name"
“告诉她各种话，比如‘自己安慰成了习惯’，‘变成淫魔时更舒服’等等……没想到被看到了。”,"Map257.json,events,5,pages,1,list,40,parameters,0"
\C[27]清彦：“（而且，最伤人的是，自己还有意识地做了这些……）”,"Map257.json,events,5,pages,1,list,43,parameters,0"
是的，记忆完整无缺。,"Map257.json,events,5,pages,1,list,45,parameters,0"
并不是因为沉溺于酒而失去记忆,"Map257.json,events,5,pages,1,list,46,parameters,0"
而是在喝醉后兴奋的状态下。,"Map257.json,events,5,pages,1,list,47,parameters,0"
事后会后悔的类型。,"Map257.json,events,5,pages,1,list,48,parameters,0"
踩别人……用女性的话煽动像小孩一样,"Map257.json,events,5,pages,1,list,50,parameters,0"
最后甚至插入尾巴……。,"Map257.json,events,5,pages,1,list,51,parameters,0"
店长：“这次的事情我没有告诉你真是对不起。,"Map257.json,events,5,pages,1,list,53,parameters,0"
治疗淫魔化也很重要,"Map257.json,events,5,pages,1,list,54,parameters,0"
但我决定先采取对策。”,"Map257.json,events,5,pages,1,list,55,parameters,0"
店长：“现在没有驱魔剑了。,"Map257.json,events,5,pages,1,list,57,parameters,0"
水晶也没有在这个岛上，但外部可能会有。”,"Map257.json,events,5,pages,1,list,58,parameters,0"
店长：“那么，我们需要控制淫魔的药物。,"Map257.json,events,5,pages,1,list,60,parameters,0"
为此我准备了那个药物，或者说香水,"Map257.json,events,5,pages,1,list,61,parameters,0"
对淫魔和原淫魔有效，对人类无效。”,"Map257.json,events,5,pages,1,list,62,parameters,0"
店长：“只要……你继续虐待自己,"Map257.json,events,5,pages,1,list,64,parameters,0"
完全没有问题,"Map257.json,events,5,pages,1,list,65,parameters,0"
即使是原淫魔引诱，也不会袭击。”,"Map257.json,events,5,pages,1,list,66,parameters,0"
店长：“这是失败了……必须想办法解决。,"Map257.json,events,5,pages,1,list,68,parameters,0"
或者改进成发挥其他功能。”,"Map257.json,events,5,pages,1,list,69,parameters,0"
店长：“嘟嘟嘟”地自言自语着。,"Map257.json,events,5,pages,1,list,72,parameters,0"
恢复原样很重要，但确实需要先采取对策。,"Map257.json,events,5,pages,1,list,73,parameters,0"
对此我无话可说。,"Map257.json,events,5,pages,1,list,74,parameters,0"
……只要有恢复原样的意愿就好。,"Map257.json,events,5,pages,1,list,75,parameters,0"
女性的声音：“打扰了。”,"Map257.json,events,5,pages,1,list,78,parameters,0"
店长：“欢迎光临！,"Map257.json,events,5,pages,1,list,85,parameters,0"
\.\.哦，你难道是……？”,"Map257.json,events,5,pages,1,list,86,parameters,0"
女性：“我是大妖狐介绍来的‘吸血姬’。,"Map257.json,events,5,pages,1,list,88,parameters,0"
请多关照。”,"Map257.json,events,5,pages,1,list,89,parameters,0"
\C[27]清彦：“（吸血姬……？）”,"Map257.json,events,5,pages,1,list,107,parameters,0"
那是一个小小的魔物娘。,"Map257.json,events,5,pages,1,list,109,parameters,0"
……虽然比现在的她高一半或一头。,"Map257.json,events,5,pages,1,list,110,parameters,0"
那个魔物娘慢慢地坐在椅子上。,"Map257.json,events,5,pages,1,list,113,parameters,0"
双手放在裙子上，优雅地。,"Map257.json,events,5,pages,1,list,114,parameters,0"
看起来相当有教养。,"Map257.json,events,5,pages,1,list,115,parameters,0"
吸血姬：“你就是清彦君吧。,"Map257.json,events,5,pages,1,list,119,parameters,0"
你的脸好可爱……♡,"Map257.json,events,5,pages,1,list,120,parameters,0"
请多关照。”,"Map257.json,events,5,pages,1,list,121,parameters,0"
\C[27]清彦：“请、请多关照……”,"Map257.json,events,5,pages,1,list,124,parameters,0"
可爱的脸。这个词还不太习惯。,"Map257.json,events,5,pages,1,list,126,parameters,0"
呵呵，吸血姬微笑着，眼神有点可怕……仿佛被猎物盯上了一样。,"Map257.json,events,5,pages,1,list,127,parameters,0"
店长：“那么……吸血姬小姐,"Map257.json,events,5,pages,1,list,129,parameters,0"
你听说了请求的内容吗？”,"Map257.json,events,5,pages,1,list,130,parameters,0"
店长：“平时很多事情都放过你了,"Map257.json,events,5,pages,1,list,132,parameters,0"
在方便的时候帮忙，真是对不起。”,"Map257.json,events,5,pages,1,list,133,parameters,0"
吸血姬：“嗯，我理解了。”,"Map257.json,events,5,pages,1,list,137,parameters,0"
吸血姬：“（这就是这个店长的本性吗。,"Map257.json,events,5,pages,1,list,140,parameters,0"
之前化身为人类来这里的时候,"Map257.json,events,5,pages,1,list,141,parameters,0"
这个人的性格更开朗）”,"Map257.json,events,5,pages,1,list,142,parameters,0"
吸血姬：“（看到店员的扮装,"Map257.json,events,5,pages,1,list,144,parameters,0"
还说‘好可爱～♡’之类的话）”,"Map257.json,events,5,pages,1,list,145,parameters,0"
吸血姬：“清彦君，请把手给我。,"Map257.json,events,5,pages,1,list,149,parameters,0"
稍微刺一下，确认一下血液。”,"Map257.json,events,5,pages,1,list,150,parameters,0"
\C[27]清彦：“啊，好的。”,"Map257.json,events,5,pages,1,list,152,parameters,0"
她轻轻地刺了一下他的手臂，血液附着在指尖。,"Map257.json,events,5,pages,1,list,155,parameters,0"
闻了一下后舔了一下。,"Map257.json,events,5,pages,1,list,156,parameters,0"
“嗯～”她歪着头，然后吸血姬张开了嘴。,"Map257.json,events,5,pages,1,list,157,parameters,0"
吸血姬：“完全是魔物娘的味道。,"Map257.json,events,5,pages,1,list,159,parameters,0"
一点也没有人类的味道。”,"Map257.json,events,5,pages,1,list,160,parameters,0"
虽然早就知道这个事实,"Map257.json,events,5,pages,1,list,163,parameters,0"
但听到自己“完全是”魔物娘时还是有点沮丧。,"Map257.json,events,5,pages,1,list,164,parameters,0"
吸血姬：“接下来请面对我？”,"Map257.json,events,5,pages,1,list,170,parameters,0"
\C[27]清彦：“像这样吗？”,"Map257.json,events,5,pages,1,list,175,parameters,0"
一露出背后，吸血姬就盯着他的背。,"Map257.json,events,5,pages,1,list,179,parameters,0"
视线似乎集中在翅膀和尾巴上……,"Map257.json,events,5,pages,1,list,180,parameters,0"
证据是她几次触摸了翅膀。,"Map257.json,events,5,pages,1,list,181,parameters,0"
吸血姬：“使用魔法的话，翅膀可以暂时飞行。并不是,"Map257.json,events,5,pages,1,list,183,parameters,0"
完全不能飞的翅膀？”,"Map257.json,events,5,pages,1,list,184,parameters,0"
\C[27]清彦：“不能飞，魔法……我不知道。,"Map257.json,events,5,pages,1,list,186,parameters,0"
但是可以动。”,"Map257.json,events,5,pages,1,list,187,parameters,0"
他稍微用力按在背上，翅膀扑扑地动了一下。,"Map257.json,events,5,pages,1,list,189,parameters,0"
顺便一提，因为有神经,"Map257.json,events,5,pages,1,list,190,parameters,0"
所以他知道吸血姬触摸的位置。,"Map257.json,events,5,pages,1,list,191,parameters,0"
吸血姬：“嗯……我的翅膀结构和你的很像。,"Map257.json,events,5,pages,1,list,193,parameters,0"
这里怎么样？”,"Map257.json,events,5,pages,1,list,194,parameters,0"
翅膀的根部。,"Map257.json,events,5,pages,1,list,198,parameters,0"
她用食指轻轻触摸，他的背上传来一阵刺痛。,"Map257.json,events,5,pages,1,list,199,parameters,0"
\C[27]清彦：“稍微有点刺痛。”,"Map257.json,events,5,pages,1,list,201,parameters,0"
吸血姬：“嗯……那这个呢？”,"Map257.json,events,5,pages,1,list,203,parameters,0"
她像按摩翅膀的根部一样,"Map257.json,events,5,pages,1,list,205,parameters,0"
反复按压、揉捏。,"Map257.json,events,5,pages,1,list,206,parameters,0"
……只是有点刺痛，没有其他感觉……\.\.。,"Map257.json,events,5,pages,1,list,207,parameters,0"
\C[27]清彦,"Map257.json,events,5,pages,1,list,213,parameters,0"
「噗！」,"Map257.json,events,5,pages,1,list,214,parameters,0"
某个时刻之后，变得非常敏感。,"Map257.json,events,5,pages,1,list,216,parameters,0"
不由自主地背脊挺直，屁股翘起。,"Map257.json,events,5,pages,1,list,217,parameters,0"
翅膀发出巨大的声音扩张到极限。,"Map257.json,events,5,pages,1,list,218,parameters,0"
吸血姬,"Map257.json,events,5,pages,1,list,221,parameters,0"
「羽毛的结构和我很相似呢。,"Map257.json,events,5,pages,1,list,222,parameters,0"
感受也几乎一样呢」,"Map257.json,events,5,pages,1,list,223,parameters,0"
店长,"Map257.json,events,5,pages,1,list,225,parameters,0"
「嗯嗯……尾巴怎么样？」,"Map257.json,events,5,pages,1,list,226,parameters,0"
\C[27]清彦,"Map257.json,events,5,pages,1,list,229,parameters,0"
「啊，不，那个地方」,"Map257.json,events,5,pages,1,list,230,parameters,0"
――不需要再调查了。,"Map257.json,events,5,pages,1,list,232,parameters,0"
这几天，自己亲手触摸过，刚才在备用旅馆时,"Map257.json,events,5,pages,1,list,233,parameters,0"
已经尝试过很多了……。,"Map257.json,events,5,pages,1,list,234,parameters,0"
吸血姬,"Map257.json,events,5,pages,1,list,236,parameters,0"
「尾巴不是我的专长……。那个怎么样？」,"Map257.json,events,5,pages,1,list,237,parameters,0"
\C[27]清彦,"Map257.json,events,5,pages,1,list,243,parameters,0"
「咿呀！」,"Map257.json,events,5,pages,1,list,244,parameters,0"
刚才还被过度使用的尾巴。,"Map257.json,events,5,pages,1,list,246,parameters,0"
吸血姬的手像是很熟练一样,"Map257.json,events,5,pages,1,list,247,parameters,0"
触碰到根部或者轻轻揉弄尾巴中间部分。,"Map257.json,events,5,pages,1,list,248,parameters,0"
身体无法控制。,"Map257.json,events,5,pages,1,list,250,parameters,0"
不仅跳跃，椅子都被冲倒了。,"Map257.json,events,5,pages,1,list,251,parameters,0"
腰软了，四肢着地。,"Map257.json,events,5,pages,1,list,252,parameters,0"
\C[27]清彦,"Map257.json,events,5,pages,1,list,255,parameters,0"
「啊……♡！停下……♡」,"Map257.json,events,5,pages,1,list,256,parameters,0"
什么是不擅长的，明显已经习惯了尾巴。,"Map257.json,events,5,pages,1,list,258,parameters,0"
不知不觉间，吸血姬的双手轻轻触碰到尾巴末端的心形部分。,"Map257.json,events,5,pages,1,list,259,parameters,0"
吸血姬用右手指弹尾巴的末端，做好准备。,"Map257.json,events,5,pages,1,list,263,parameters,0"
然后……轻轻地，嗖。,"Map257.json,events,5,pages,1,list,264,parameters,0"
像戳头一样轻轻弹了尾巴的末端。,"Map257.json,events,5,pages,1,list,265,parameters,0"
\C[27]「――啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊！」,"Map257.json,events,5,pages,1,list,271,parameters,0"
那是发不出声音的声音,"Map257.json,events,5,pages,1,list,276,parameters,0"
全身仰仗着，瞬间眼前一片白色,"Map257.json,events,5,pages,1,list,277,parameters,0"
从尾巴末端开始，从多个地方,"Map257.json,events,5,pages,1,list,278,parameters,0"
液体喷涌而出的冲击。,"Map257.json,events,5,pages,1,list,279,parameters,0"
视野晃动。,"Map257.json,events,5,pages,1,list,281,parameters,0"
身体抽搐着，发出抽搐声,"Map257.json,events,5,pages,1,list,282,parameters,0"
店长和吸血姬说着什么,"Map257.json,events,5,pages,1,list,283,parameters,0"
但她的耳朵一点也听不进去。,"Map257.json,events,5,pages,1,list,284,parameters,0"
那是如此强烈的冲击……尽力调整呼吸。,"Map257.json,events,5,pages,1,list,286,parameters,0"
即使是她也消耗了体力,"Map257.json,events,5,pages,1,list,287,parameters,0"
逐渐失去意识……。,"Map257.json,events,5,pages,1,list,288,parameters,0"
吸血姬,"Map257.json,events,5,pages,1,list,294,parameters,0"
「可爱……吓到我了」,"Map257.json,events,5,pages,1,list,295,parameters,0"
店长,"Map257.json,events,5,pages,1,list,297,parameters,0"
「尾巴看起来非常敏感呢……,"Map257.json,events,5,pages,1,list,298,parameters,0"
如果用药物提高这里的敏感度，可能会无力化。,"Map257.json,events,5,pages,1,list,299,parameters,0"
只是动一下就会腰软」,"Map257.json,events,5,pages,1,list,300,parameters,0"
店长,"Map257.json,events,5,pages,1,list,302,parameters,0"
「暂时我们会朝这个方向前进。,"Map257.json,events,5,pages,1,list,303,parameters,0"
主题是『提高敏感度』」,"Map257.json,events,5,pages,1,list,304,parameters,0"
吸血姬,"Map257.json,events,5,pages,1,list,309,parameters,0"
「我能做的事情就只有这些了。,"Map257.json,events,5,pages,1,list,310,parameters,0"
之后我会向大妖狐报告」,"Map257.json,events,5,pages,1,list,311,parameters,0"
店长,"Map257.json,events,5,pages,1,list,316,parameters,0"
「谢谢你。,"Map257.json,events,5,pages,1,list,317,parameters,0"
……这是我送给你的服务」,"Map257.json,events,5,pages,1,list,318,parameters,0"
吸血姬,"Map257.json,events,5,pages,1,list,324,parameters,0"
「是加了男性血液的红茶吧♪,"Map257.json,events,5,pages,1,list,325,parameters,0"
……很好喝♪\!不过，你居然能弄到这个,"Map257.json,events,5,pages,1,list,326,parameters,0"
这个城市本来就缺乏男性」,"Map257.json,events,5,pages,1,list,327,parameters,0"
店长,"Map257.json,events,5,pages,1,list,329,parameters,0"
「如果你喜欢就好。,"Map257.json,events,5,pages,1,list,330,parameters,0"
……并不是说没有男性在这里」,"Map257.json,events,5,pages,1,list,331,parameters,0"
店长,"Map257.json,events,5,pages,1,list,333,parameters,0"
「我已经问过大妖狐的喜好了。,"Map257.json,events,5,pages,1,list,334,parameters,0"
还有其他的……。,"Map257.json,events,5,pages,1,list,335,parameters,0"
吸血姬轻轻地托起她的身体,"Map257.json,events,5,pages,1,list,345,parameters,0"
用柔软的大腿支撑着她的头。,"Map257.json,events,5,pages,1,list,346,parameters,0"
……连昏迷的脸都看起来可爱。,"Map257.json,events,5,pages,1,list,347,parameters,0"
吸血姬,"Map257.json,events,5,pages,1,list,349,parameters,0"
「（这孩子……我很中意。,"Map257.json,events,5,pages,1,list,350,parameters,0"
让她成为我的妹妹，也是,"Map257.json,events,5,pages,1,list,351,parameters,0"
挺有趣的）」,"Map257.json,events,5,pages,1,list,352,parameters,0"
店长,"Map257.json,events,5,pages,1,list,354,parameters,0"
「（老实说，不恢复原样。如果,"Map257.json,events,5,pages,1,list,355,parameters,0"
她能这么说，那就太好了……但是，不可能吧）」,"Map257.json,events,5,pages,1,list,356,parameters,0"
她被吸血姬中意的命运。,"Map257.json,events,5,pages,1,list,358,parameters,0"
未来，是要变回人类……男性吗,"Map257.json,events,5,pages,1,list,359,parameters,0"
还是作为一个小♀淫魔,"Map257.json,events,5,pages,1,list,360,parameters,0"
永远生活下去呢……？,"Map257.json,events,5,pages,1,list,361,parameters,0"
ED31.变成小孩淫魔归还ED,"Map257.json,events,5,pages,1,list,367,parameters,0"
