宝1,"Map204.json,events,1,name"
这是什么，淡紫色的水晶？？？,"Map204.json,events,7,pages,0,list,230,parameters,0"
\.\.\.等等……水晶类的东西很厉害！！！很贵！！！」,"Map204.json,events,7,pages,0,list,231,parameters,0"
男2,"Map204.json,events,7,pages,0,list,235,parameters,0"
「这边是橙色的水晶！,"Map204.json,events,7,pages,0,list,236,parameters,0"
这可厉害了！！！价钱比精灵还低,"Map204.json,events,7,pages,0,list,237,parameters,0"
可以玩一辈子啊！！！」,"Map204.json,events,7,pages,0,list,238,parameters,0"
两个男人像孩子一样兴奋起来。,"Map204.json,events,7,pages,0,list,242,parameters,0"
『那个家伙真倒霉～我们中大奖了！』,"Map204.json,events,7,pages,0,list,243,parameters,0"
他们互相拿着水晶，准备带回去,"Map204.json,events,7,pages,0,list,245,parameters,0"
\!就在下一瞬间。,"Map204.json,events,7,pages,0,list,246,parameters,0"
男1,"Map204.json,events,7,pages,0,list,250,parameters,0"
「嗯？」,"Map204.json,events,7,pages,0,list,251,parameters,0"
男2,"Map204.json,events,7,pages,0,list,255,parameters,0"
「诶？」,"Map204.json,events,7,pages,0,list,256,parameters,0"
水晶沉入了他们的身体。,"Map204.json,events,7,pages,0,list,258,parameters,0"
就像把东西掉进池塘一样，瞬间消失了。,"Map204.json,events,7,pages,0,list,259,parameters,0"
男1,"Map204.json,events,7,pages,0,list,261,parameters,0"
“喂喂，这是什么——\!啊！”,"Map204.json,events,7,pages,0,list,262,parameters,0"
男2,"Map204.json,events,7,pages,0,list,266,parameters,0"
“没事吧——呃！”,"Map204.json,events,7,pages,0,list,267,parameters,0"
发出呻吟声的男人们的身体瞬间发生了变化。,"Map204.json,events,7,pages,0,list,275,parameters,0"
\!一侧的胸部变大，另一侧的背部变小,"Map204.json,events,7,pages,0,list,276,parameters,0"
\.\.\.两人的头发都变长了，变得柔顺\.\.\.,"Map204.json,events,7,pages,0,list,277,parameters,0"
长出了一条尾巴和小蝙蝠状的翅膀――。,"Map204.json,events,7,pages,0,list,278,parameters,0"
“人类……♡”,"Map204.json,events,7,pages,0,list,288,parameters,0"
“要把人类变成伙伴♡”,"Map204.json,events,7,pages,0,list,292,parameters,0"
