姐姐,"Map004.json,events,2,name"
女性,"Map004.json,events,3,pages,4,list,1,parameters,0"
“你好，这里是图书馆。,"Map004.json,events,3,pages,4,list,2,parameters,0"
（好厉害……好毛茸茸♪）”,"Map004.json,events,3,pages,4,list,3,parameters,0"
\C[27]清彦,"Map004.json,events,3,pages,4,list,5,parameters,0"
“（尾巴被看到了）”,"Map004.json,events,3,pages,4,list,6,parameters,0"
……她突然想到。,"Map004.json,events,3,pages,4,list,9,parameters,0"
如果向居民晃动尾巴，试试引起他们的注意会怎样呢。,"Map004.json,events,3,pages,4,list,10,parameters,0"
对于喜欢动物的人来说，肯定会非常喜欢吧？,"Map004.json,events,3,pages,4,list,11,parameters,0"
她故意左右晃动……\.\.嗯。\!,"Map004.json,events,3,pages,4,list,13,parameters,0"
然后，接待员发出了小小的惊叹声。,"Map004.json,events,3,pages,4,list,14,parameters,0"
能让她开心是最重要的。,"Map004.json,events,3,pages,4,list,15,parameters,0"
大妖狐还教我如何打理尾巴。,"Map004.json,events,3,pages,4,list,17,parameters,0"
因此，感觉比平时更加蓬松。,"Map004.json,events,3,pages,4,list,18,parameters,0"
能够理解妖狐族对尾巴的重视。,"Map004.json,events,3,pages,4,list,19,parameters,0"
总之……就是这样。\!,"Map004.json,events,3,pages,4,list,21,parameters,0"
如果用男性的话来说，就像是把自己引以为豪的剑,"Map004.json,events,3,pages,4,list,22,parameters,0"
被别人称赞一样。,"Map004.json,events,3,pages,4,list,23,parameters,0"
满足了自我认可的欲望。\!,"Map004.json,events,3,pages,4,list,25,parameters,0"
但……还是适可而止，决定离开这个地方。,"Map004.json,events,3,pages,4,list,26,parameters,0"
如果被摸到的话，可能会发出甜美的声音。,"Map004.json,events,3,pages,4,list,27,parameters,0"
是否再次观看事件？,"Map004.json,events,3,pages,5,list,1,parameters,0"
是,"Map004.json,events,3,pages,5,list,2,parameters,0,0"
否,"Map004.json,events,3,pages,5,list,2,parameters,0,1"
是,"Map004.json,events,3,pages,5,list,3,parameters,1"
女性,"Map004.json,events,3,pages,5,list,5,parameters,0"
“你好，这里是图书馆。,"Map004.json,events,3,pages,5,list,6,parameters,0"
（好厉害……好毛茸茸♪）”,"Map004.json,events,3,pages,5,list,7,parameters,0"
\C[27]清彦,"Map004.json,events,3,pages,5,list,9,parameters,0"
“（尾巴被看到了）”,"Map004.json,events,3,pages,5,list,10,parameters,0"
……她突然想到。,"Map004.json,events,3,pages,5,list,13,parameters,0"
如果向居民晃动尾巴，试试引起他们的注意会怎样呢。,"Map004.json,events,3,pages,5,list,14,parameters,0"
对于喜欢动物的人来说，肯定会非常喜欢吧？,"Map004.json,events,3,pages,5,list,15,parameters,0"
她故意左右晃动……\.\.嗯。\!,"Map004.json,events,3,pages,5,list,17,parameters,0"
然后，接待员发出了小小的惊叹声。,"Map004.json,events,3,pages,5,list,18,parameters,0"
能让她开心是最重要的。,"Map004.json,events,3,pages,5,list,19,parameters,0"
大妖狐还教我如何打理尾巴。,"Map004.json,events,3,pages,5,list,21,parameters,0"
因此，感觉比平时更加蓬松。,"Map004.json,events,3,pages,5,list,22,parameters,0"
能够理解妖狐族对尾巴的重视。,"Map004.json,events,3,pages,5,list,23,parameters,0"
总之……就是这样。\!,"Map004.json,events,3,pages,5,list,25,parameters,0"
如果用男性的话来说，就像是把自己引以为豪的剑,"Map004.json,events,3,pages,5,list,26,parameters,0"
被别人称赞一样。,"Map004.json,events,3,pages,5,list,27,parameters,0"
满足了自我认可的欲望。\!,"Map004.json,events,3,pages,5,list,29,parameters,0"
但……还是适可而止，决定离开这个地方。,"Map004.json,events,3,pages,5,list,30,parameters,0"
如果被摸到的话，可能会发出甜美的声音。,"Map004.json,events,3,pages,5,list,31,parameters,0"
否,"Map004.json,events,3,pages,5,list,36,parameters,1"
女性,"Map004.json,events,3,pages,6,list,3,parameters,0"
“哎呀……好可爱。”,"Map004.json,events,3,pages,6,list,4,parameters,0"
\C[27]清香,"Map004.json,events,3,pages,6,list,6,parameters,0"
“诶？”,"Map004.json,events,3,pages,6,list,7,parameters,0"
女性,"Map004.json,events,3,pages,6,list,9,parameters,0"
“像是看到小动物一样的表情。,"Map004.json,events,3,pages,6,list,10,parameters,0"
她的目光主要集中在尾巴上。”,"Map004.json,events,3,pages,6,list,11,parameters,0"
女性,"Map004.json,events,3,pages,6,list,13,parameters,0"
“呼……这里有适合孩子的书吗？,"Map004.json,events,3,pages,6,list,14,parameters,0"
对不起？”,"Map004.json,events,3,pages,6,list,15,parameters,0"
女性温柔地,"Map004.json,events,3,pages,6,list,17,parameters,0"
合起双手，柔和地回答。,"Map004.json,events,3,pages,6,list,18,parameters,0"
\C[27]清香,"Map004.json,events,3,pages,6,list,20,parameters,0"
“这样啊……谢谢你。”,"Map004.json,events,3,pages,6,list,21,parameters,0"
向她鞠了一躬。,"Map004.json,events,3,pages,6,list,23,parameters,0"
然后听到女性低声说道：“哎呀……”,"Map004.json,events,3,pages,6,list,24,parameters,0"
这个词应该是因为可爱而说出来的吧。,"Map004.json,events,3,pages,6,list,25,parameters,0"
\C[27]清香,"Map004.json,events,3,pages,6,list,27,parameters,0"
“（可爱……呢）”,"Map004.json,events,3,pages,6,list,28,parameters,0"
帅气、可爱。\!,"Map004.json,events,3,pages,6,list,30,parameters,0"
前者主要是男孩子。后者主要是女孩子。,"Map004.json,events,3,pages,6,list,31,parameters,0"
我现在意识到自己更偏向后者了。,"Map004.json,events,3,pages,6,list,32,parameters,0"
女性,"Map004.json,events,3,pages,7,list,2,parameters,0"
“小姐，如果你再来的话，我可以放些绘本在这里。,"Map004.json,events,3,pages,7,list,3,parameters,0"
我可以给你读故事哦？”,"Map004.json,events,3,pages,7,list,4,parameters,0"
\C[27]清香,"Map004.json,events,3,pages,7,list,6,parameters,0"
“那个……那个，用简单的汉字,"Map004.json,events,3,pages,7,list,7,parameters,0"
写的书比较好吧……”,"Map004.json,events,3,pages,7,list,8,parameters,0"
女性,"Map004.json,events,3,pages,7,list,11,parameters,0"
“小姐，你已经会读平假名了吗？,"Map004.json,events,3,pages,7,list,12,parameters,0"
好厉害～♪”,"Map004.json,events,3,pages,7,list,13,parameters,0"
\C[27]清香,"Map004.json,events,3,pages,7,list,16,parameters,0"
“嘿嘿……谢谢你。”,"Map004.json,events,3,pages,7,list,17,parameters,0"
被夸奖是很开心的。,"Map004.json,events,3,pages,7,list,19,parameters,0"
尾巴摇了一两次。,"Map004.json,events,3,pages,7,list,20,parameters,0"
看到这一幕，女性又开心地发出了声音。,"Map004.json,events,3,pages,7,list,21,parameters,0"
女性,"Map004.json,events,3,pages,8,list,1,parameters,0"
“哇……好毛茸茸……”,"Map004.json,events,3,pages,8,list,2,parameters,0"
\C[27]清彦,"Map004.json,events,3,pages,8,list,4,parameters,0"
“诶？”,"Map004.json,events,3,pages,8,list,5,parameters,0"
女性,"Map004.json,events,3,pages,8,list,8,parameters,0"
“对不起，刚才失礼了。,"Map004.json,events,3,pages,8,list,9,parameters,0"
哈比鸟很少来城里的。”,"Map004.json,events,3,pages,8,list,10,parameters,0"
女性的目光集中在翅膀、腿，还有……腰部。,"Map004.json,events,3,pages,8,list,12,parameters,0"
虽然外表暴露，但即使是同性，也会关注腰部吗？,"Map004.json,events,3,pages,8,list,13,parameters,0"
女性,"Map004.json,events,3,pages,8,list,15,parameters,0"
“（那个尾巴……有时候会抖抖地动，好可爱♡,"Map004.json,events,3,pages,8,list,16,parameters,0"
是用它来保持平衡的吗……？,"Map004.json,events,3,pages,8,list,17,parameters,0"
嗯……尾巴果然是最棒的）”,"Map004.json,events,3,pages,8,list,18,parameters,0"
\C[27]清彦,"Map004.json,events,3,pages,8,list,21,parameters,0"
“那个……？”,"Map004.json,events,3,pages,8,list,22,parameters,0"
女性,"Map004.json,events,3,pages,8,list,25,parameters,0"
“啊……对不起！,"Map004.json,events,3,pages,8,list,26,parameters,0"
我觉得魔物娘的毛茸茸很好。,"Map004.json,events,3,pages,8,list,27,parameters,0"
那个……我喜欢动物的尾巴。”,"Map004.json,events,3,pages,8,list,28,parameters,0"
\C[27]清彦,"Map004.json,events,3,pages,8,list,30,parameters,0"
“（尾巴）”,"Map004.json,events,3,pages,8,list,31,parameters,0"
女性,"Map004.json,events,3,pages,8,list,33,parameters,0"
“对不起，说了些奇怪的话。,"Map004.json,events,3,pages,8,list,34,parameters,0"
但是真的……动物真是太好了。”,"Map004.json,events,3,pages,8,list,35,parameters,0"
\C[27]清彦,"Map004.json,events,3,pages,8,list,37,parameters,0"
“没关系，请不要在意……”,"Map004.json,events,3,pages,8,list,38,parameters,0"
虽然翅膀和腿有时会被看到,"Map004.json,events,3,pages,8,list,40,parameters,0"
但是注视尾巴还是第一次。,"Map004.json,events,3,pages,8,list,41,parameters,0"
世界上有各种各样的人。这是我在冒险中知道的事实,"Map004.json,events,3,pages,8,list,42,parameters,0"
虽然喜欢尾巴的人是第一次遇到。,"Map004.json,events,3,pages,8,list,43,parameters,0"
是否再次观看事件？,"Map004.json,events,3,pages,9,list,1,parameters,0"
是,"Map004.json,events,3,pages,9,list,2,parameters,0,0"
否,"Map004.json,events,3,pages,9,list,2,parameters,0,1"
是,"Map004.json,events,3,pages,9,list,3,parameters,1"
女性,"Map004.json,events,3,pages,9,list,5,parameters,0"
“哇……好毛茸茸……”,"Map004.json,events,3,pages,9,list,6,parameters,0"
\C[27]清彦,"Map004.json,events,3,pages,9,list,8,parameters,0"
“诶？”,"Map004.json,events,3,pages,9,list,9,parameters,0"
女性,"Map004.json,events,3,pages,9,list,12,parameters,0"
“对不起，刚才失礼了。,"Map004.json,events,3,pages,9,list,13,parameters,0"
哈比鸟很少来城里的。”,"Map004.json,events,3,pages,9,list,14,parameters,0"
女性的目光集中在翅膀、腿，还有……腰部。,"Map004.json,events,3,pages,9,list,16,parameters,0"
虽然外表暴露，但即使是同性，也会关注腰部吗？,"Map004.json,events,3,pages,9,list,17,parameters,0"
女性,"Map004.json,events,3,pages,9,list,19,parameters,0"
“（那个尾巴……有时候会抖抖地动，好可爱♡,"Map004.json,events,3,pages,9,list,20,parameters,0"
是用它来保持平衡的吗……？,"Map004.json,events,3,pages,9,list,21,parameters,0"
嗯……尾巴果然是最棒的）”,"Map004.json,events,3,pages,9,list,22,parameters,0"
\C[27]清彦,"Map004.json,events,3,pages,9,list,25,parameters,0"
“那个……？”,"Map004.json,events,3,pages,9,list,26,parameters,0"
女性,"Map004.json,events,3,pages,9,list,29,parameters,0"
“啊……对不起！,"Map004.json,events,3,pages,9,list,30,parameters,0"
我觉得魔物娘的毛茸茸很好。,"Map004.json,events,3,pages,9,list,31,parameters,0"
那个……我喜欢动物的尾巴。”,"Map004.json,events,3,pages,9,list,32,parameters,0"
\C[27]清彦,"Map004.json,events,3,pages,9,list,34,parameters,0"
“（尾巴）”,"Map004.json,events,3,pages,9,list,35,parameters,0"
女性,"Map004.json,events,3,pages,9,list,37,parameters,0"
“对不起，说了些奇怪的话。,"Map004.json,events,3,pages,9,list,38,parameters,0"
但是真的……动物真是太好了。”,"Map004.json,events,3,pages,9,list,39,parameters,0"
\C[27]清彦,"Map004.json,events,3,pages,9,list,41,parameters,0"
“没关系，请不要在意……”,"Map004.json,events,3,pages,9,list,42,parameters,0"
虽然翅膀和腿有时会被看到,"Map004.json,events,3,pages,9,list,44,parameters,0"
但是注视尾巴还是第一次。,"Map004.json,events,3,pages,9,list,45,parameters,0"
世界上有各种各样的人。这是我在冒险中知道的事实,"Map004.json,events,3,pages,9,list,46,parameters,0"
虽然喜欢尾巴的人是第一次遇到。,"Map004.json,events,3,pages,9,list,47,parameters,0"
否,"Map004.json,events,3,pages,9,list,52,parameters,1"
女性,"Map004.json,events,3,pages,10,list,3,parameters,0"
「啊！」,"Map004.json,events,3,pages,10,list,4,parameters,0"
一位女性身体颤抖。,"Map004.json,events,3,pages,10,list,6,parameters,0"
从她的眼神可以看出，她把自己当作了恐怖的对象——。,"Map004.json,events,3,pages,10,list,7,parameters,0"
不，应该说是创伤的对象。,"Map004.json,events,3,pages,10,list,8,parameters,0"
\C[27]清彦,"Map004.json,events,3,pages,10,list,11,parameters,0"
「（说起来，,"Map004.json,events,3,pages,10,list,12,parameters,0"
这个人应该在我面前变成了魅魔……）」,"Map004.json,events,3,pages,10,list,13,parameters,0"
\C[27]清彦,"Map004.json,events,3,pages,10,list,17,parameters,0"
「（被魅魔袭击，一定很受伤吧）」,"Map004.json,events,3,pages,10,list,18,parameters,0"
\C[27]清彦,"Map004.json,events,3,pages,10,list,22,parameters,0"
「对不起，吓到你了吗」,"Map004.json,events,3,pages,10,list,23,parameters,0"
女性,"Map004.json,events,3,pages,10,list,26,parameters,0"
「不，不！,"Map004.json,events,3,pages,10,list,27,parameters,0"
我才应该道歉……。,"Map004.json,events,3,pages,10,list,28,parameters,0"
店长已经告诉我了」,"Map004.json,events,3,pages,10,list,29,parameters,0"
……创伤并不是那么容易消失的东西。,"Map004.json,events,3,pages,10,list,31,parameters,0"
明知道还是会害怕。,"Map004.json,events,3,pages,10,list,32,parameters,0"
希望时间能解决问题,"Map004.json,events,3,pages,10,list,33,parameters,0"
但看起来还需要很长时间。,"Map004.json,events,3,pages,10,list,34,parameters,0"
女性,"Map004.json,events,3,pages,11,list,1,parameters,0"
「你，你好！,"Map004.json,events,3,pages,11,list,2,parameters,0"
如果你想借书的话，请……随时找我」,"Map004.json,events,3,pages,11,list,3,parameters,0"
\C[27]清彦,"Map004.json,events,3,pages,11,list,5,parameters,0"
「（希望她能适应……）」,"Map004.json,events,3,pages,11,list,6,parameters,0"
女性,"Map004.json,events,3,pages,12,list,3,parameters,0"
「魅魔！？\.\.\.,"Map004.json,events,3,pages,12,list,4,parameters,0"
啊……对了，你也有孩子呢。,"Map004.json,events,3,pages,12,list,5,parameters,0"
但是只要不是成年人就好……」,"Map004.json,events,3,pages,12,list,6,parameters,0"
\C[27]清彦,"Map004.json,events,3,pages,12,list,8,parameters,0"
「对不起，吓到你了吗？」,"Map004.json,events,3,pages,12,list,9,parameters,0"
女性双手放在下体前面，鞠了一躬。,"Map004.json,events,3,pages,12,list,11,parameters,0"
什么时候才能觉得直接触碰没有问题呢？,"Map004.json,events,3,pages,12,list,12,parameters,0"
至少现在还不太习惯。,"Map004.json,events,3,pages,12,list,13,parameters,0"
女性,"Map004.json,events,3,pages,12,list,16,parameters,0"
「对，对不起！,"Map004.json,events,3,pages,12,list,17,parameters,0"
那个……上次的事件，我有点创伤……。,"Map004.json,events,3,pages,12,list,18,parameters,0"
但是没关系。这个魅魔和之前的感觉不一样！」,"Map004.json,events,3,pages,12,list,19,parameters,0"
\C[27]清彦,"Map004.json,events,3,pages,12,list,22,parameters,0"
「（说起来，,"Map004.json,events,3,pages,12,list,23,parameters,0"
这个人应该在我面前变成了魅魔……）」,"Map004.json,events,3,pages,12,list,24,parameters,0"
\C[27]清彦,"Map004.json,events,3,pages,12,list,28,parameters,0"
「（被魅魔袭击，一定很受伤吧）」,"Map004.json,events,3,pages,12,list,29,parameters,0"
女性用手抚摸胸口，调整呼吸。,"Map004.json,events,3,pages,12,list,33,parameters,0"
如果自己是大人魅魔的话，会有怎样的反应呢。,"Map004.json,events,3,pages,12,list,34,parameters,0"
从这个意义上说，还是这个样子比较好……或许。,"Map004.json,events,3,pages,12,list,35,parameters,0"
女性,"Map004.json,events,3,pages,13,list,2,parameters,0"
「（……尾巴，虽然看起来不像是毛茸茸的,"Map004.json,events,3,pages,13,list,3,parameters,0"
但还是想摸一次呢）」,"Map004.json,events,3,pages,13,list,4,parameters,0"
\C[27]清彦,"Map004.json,events,3,pages,13,list,6,parameters,0"
「（在看尾巴吗？在关心吗……）,"Map004.json,events,3,pages,13,list,7,parameters,0"
那个……可以摸一下吗？」,"Map004.json,events,3,pages,13,list,8,parameters,0"
女性,"Map004.json,events,3,pages,13,list,11,parameters,0"
「诶！可以吗？」,"Map004.json,events,3,pages,13,list,12,parameters,0"
\C[27]清彦,"Map004.json,events,3,pages,13,list,14,parameters,0"
「只摸一下……,"Map004.json,events,3,pages,13,list,15,parameters,0"
那个，因为很敏感所以请小心」,"Map004.json,events,3,pages,13,list,16,parameters,0"
女性,"Map004.json,events,3,pages,13,list,22,parameters,0"
「（哇，好厉害。,"Map004.json,events,3,pages,13,list,23,parameters,0"
不同于猫和狗，感觉是来自另一个维度的触感。,"Map004.json,events,3,pages,13,list,24,parameters,0"
这个也可以……太棒了！！！）」,"Map004.json,events,3,pages,13,list,25,parameters,0"
\C[27]清彦,"Map004.json,events,3,pages,13,list,28,parameters,0"
「（呜呜……背脊发麻。,"Map004.json,events,3,pages,13,list,29,parameters,0"
坐着时被碰到麻痹的腿，被触碰到了。,"Map004.json,events,3,pages,13,list,30,parameters,0"
相当辛苦……！）」,"Map004.json,events,3,pages,13,list,31,parameters,0"
女性,"Map004.json,events,3,pages,13,list,34,parameters,0"
对不起，摸得有点多了。,"Map004.json,events,3,pages,13,list,36,parameters,0"
请再摸一次！太好了！！！」,"Map004.json,events,3,pages,13,list,37,parameters,0"
\C[27]清彦,"Map004.json,events,3,pages,13,list,41,parameters,0"
「那，那就好。,"Map004.json,events,3,pages,13,list,42,parameters,0"
（危险……如果再激烈一点,"Map004.json,events,3,pages,13,list,43,parameters,0"
我的腰就要软了）」,"Map004.json,events,3,pages,13,list,44,parameters,0"
是否再次观看事件？,"Map004.json,events,3,pages,14,list,1,parameters,0"
是,"Map004.json,events,3,pages,14,list,2,parameters,0,0"
否,"Map004.json,events,3,pages,14,list,2,parameters,0,1"
是,"Map004.json,events,3,pages,14,list,3,parameters,1"
女性,"Map004.json,events,3,pages,14,list,5,parameters,0"
「（……尾巴，虽然看起来不像是毛茸茸的,"Map004.json,events,3,pages,14,list,6,parameters,0"
但还是想摸一次呢）」,"Map004.json,events,3,pages,14,list,7,parameters,0"
\C[27]清彦,"Map004.json,events,3,pages,14,list,9,parameters,0"
「在看尾巴吗？,"Map004.json,events,3,pages,14,list,10,parameters,0"
关心吗……」,"Map004.json,events,3,pages,14,list,11,parameters,0"
那个……可以摸一下吗？」,"Map004.json,events,3,pages,14,list,12,parameters,0"
女性,"Map004.json,events,3,pages,14,list,15,parameters,0"
「诶！可以吗？」,"Map004.json,events,3,pages,14,list,16,parameters,0"
\C[27]清彦,"Map004.json,events,3,pages,14,list,18,parameters,0"
「只摸一下……,"Map004.json,events,3,pages,14,list,19,parameters,0"
那个，因为很敏感所以请小心」,"Map004.json,events,3,pages,14,list,20,parameters,0"
女性,"Map004.json,events,3,pages,14,list,26,parameters,0"
「（哇，好厉害。,"Map004.json,events,3,pages,14,list,27,parameters,0"
不同于猫和狗，感觉是来自另一个维度的触感。,"Map004.json,events,3,pages,14,list,28,parameters,0"
这个也可以……太棒了！！！）」,"Map004.json,events,3,pages,14,list,29,parameters,0"
\C[27]清彦,"Map004.json,events,3,pages,14,list,32,parameters,0"
「（呜呜……背脊发麻。,"Map004.json,events,3,pages,14,list,33,parameters,0"
坐着时被碰到麻痹的腿，被触碰到了。,"Map004.json,events,3,pages,14,list,34,parameters,0"
相当辛苦……！）」,"Map004.json,events,3,pages,14,list,35,parameters,0"
女性,"Map004.json,events,3,pages,14,list,38,parameters,0"
对不起，摸得有点多了。,"Map004.json,events,3,pages,14,list,40,parameters,0"
请再摸一次！太好了！！！」,"Map004.json,events,3,pages,14,list,41,parameters,0"
\C[27]清彦,"Map004.json,events,3,pages,14,list,45,parameters,0"
「那，那就好。,"Map004.json,events,3,pages,14,list,46,parameters,0"
（危险……如果再激烈一点,"Map004.json,events,3,pages,14,list,47,parameters,0"
我的腰就要软了）」,"Map004.json,events,3,pages,14,list,48,parameters,0"
否,"Map004.json,events,3,pages,14,list,50,parameters,1"
有本书叫做『吸血鬼』。,"Map004.json,events,4,pages,0,list,1,parameters,0"
要读吗？,"Map004.json,events,4,pages,0,list,2,parameters,0"
是,"Map004.json,events,4,pages,0,list,3,parameters,0,0"
否,"Map004.json,events,4,pages,0,list,3,parameters,0,1"
是,"Map004.json,events,4,pages,0,list,4,parameters,1"
吸血鬼，字面意思就是吸血魔物娘。,"Map004.json,events,4,pages,0,list,7,parameters,0"
袭击人类，直到目标死亡为止持续吸血。,"Map004.json,events,4,pages,0,list,9,parameters,0"
是可怕的魔物娘。,"Map004.json,events,4,pages,0,list,10,parameters,0"
攻击力、敏捷度、防御力都非常高，是相当强大的敌人。,"Map004.json,events,4,pages,0,list,12,parameters,0"
吸血鬼的爪子是攻守一体的，非常棘手。,"Map004.json,events,4,pages,0,list,13,parameters,0"
听起来似乎无法应对，但是有弱点。,"Map004.json,events,4,pages,0,list,14,parameters,0"
那就是极度\C[18]怕银器\C[0]。,"Map004.json,events,4,pages,0,list,16,parameters,0"
如果使用教会配发的银装备，可以造成致命伤。,"Map004.json,events,4,pages,0,list,17,parameters,0"
挑战吸血鬼的时候，一定要穿上银装备。,"Map004.json,events,4,pages,0,list,18,parameters,0"
否,"Map004.json,events,4,pages,0,list,20,parameters,1"
有本书叫做『吸血鬼』。,"Map004.json,events,4,pages,1,list,1,parameters,0"
要读吗？,"Map004.json,events,4,pages,1,list,2,parameters,0"
是,"Map004.json,events,4,pages,1,list,3,parameters,0,0"
否,"Map004.json,events,4,pages,1,list,3,parameters,0,1"
是,"Map004.json,events,4,pages,1,list,4,parameters,1"
吸血鬼，字面意思就是吸血魔物娘。,"Map004.json,events,4,pages,1,list,7,parameters,0"
袭击人类，直到目标死亡为止持续吸血。,"Map004.json,events,4,pages,1,list,9,parameters,0"
是可怕的魔物娘。,"Map004.json,events,4,pages,1,list,10,parameters,0"
攻击力、敏捷度、防御力都非常高，是相当强大的敌人。,"Map004.json,events,4,pages,1,list,12,parameters,0"
吸血鬼的爪子是攻守一体的，非常棘手。,"Map004.json,events,4,pages,1,list,13,parameters,0"
听起来似乎无法应对，但是有弱点。,"Map004.json,events,4,pages,1,list,14,parameters,0"
那就是极度\C[18]怕银器\C[0]。,"Map004.json,events,4,pages,1,list,16,parameters,0"
如果使用教会配发的银装备，可以造成致命伤。,"Map004.json,events,4,pages,1,list,17,parameters,0"
挑战吸血鬼的时候，一定要穿上银装备。,"Map004.json,events,4,pages,1,list,18,parameters,0"
\C[27]清彦,"Map004.json,events,4,pages,1,list,21,parameters,0"
「没想到不是吸血鬼，而是吸血姬,"Map004.json,events,4,pages,1,list,22,parameters,0"
谁能预料到……」,"Map004.json,events,4,pages,1,list,23,parameters,0"
否,"Map004.json,events,4,pages,1,list,25,parameters,1"
有本书叫做『吸血鬼』。,"Map004.json,events,4,pages,2,list,1,parameters,0"
要读吗？,"Map004.json,events,4,pages,2,list,2,parameters,0"
是,"Map004.json,events,4,pages,2,list,3,parameters,0,0"
否,"Map004.json,events,4,pages,2,list,3,parameters,0,1"
是,"Map004.json,events,4,pages,2,list,4,parameters,1"
吸血鬼，字面意思就是吸血魔物娘。,"Map004.json,events,4,pages,2,list,7,parameters,0"
袭击人类，直到目标死亡为止持续吸血。,"Map004.json,events,4,pages,2,list,9,parameters,0"
是可怕的魔物娘。,"Map004.json,events,4,pages,2,list,10,parameters,0"
攻击力、敏捷度、防御力都非常高，是相当强大的敌人。,"Map004.json,events,4,pages,2,list,12,parameters,0"
吸血鬼的爪子是攻守一体的，非常棘手。,"Map004.json,events,4,pages,2,list,13,parameters,0"
听起来似乎无法应对，但是有弱点。,"Map004.json,events,4,pages,2,list,14,parameters,0"
那就是极度\C[18]怕银器\C[0]。,"Map004.json,events,4,pages,2,list,16,parameters,0"
如果使用教会配发的银装备，可以造成致命伤。,"Map004.json,events,4,pages,2,list,17,parameters,0"
挑战吸血鬼的时候，一定要穿上银装备。,"Map004.json,events,4,pages,2,list,18,parameters,0"
\C[27]清彦,"Map004.json,events,4,pages,2,list,21,parameters,0"
「没想到她在这里,"Map004.json,events,4,pages,2,list,22,parameters,0"
谁能预料到……」,"Map004.json,events,4,pages,2,list,23,parameters,0"
否,"Map004.json,events,4,pages,2,list,25,parameters,1"
有本书叫做『吸血鬼』。,"Map004.json,events,4,pages,3,list,1,parameters,0"
要读吗？,"Map004.json,events,4,pages,3,list,2,parameters,0"
是,"Map004.json,events,4,pages,3,list,3,parameters,0,0"
否,"Map004.json,events,4,pages,3,list,3,parameters,0,1"
是,"Map004.json,events,4,pages,3,list,4,parameters,1"
吸血鬼，字面意思就是吸血魔物娘。,"Map004.json,events,4,pages,3,list,7,parameters,0"
袭击人类，直到目标死亡为止持续吸血。,"Map004.json,events,4,pages,3,list,9,parameters,0"
是可怕的魔物娘。,"Map004.json,events,4,pages,3,list,10,parameters,0"
攻击力、敏捷度、防御力都非常高，是相当强大的敌人。,"Map004.json,events,4,pages,3,list,12,parameters,0"
吸血鬼的爪子是攻守一体的，非常棘手。,"Map004.json,events,4,pages,3,list,13,parameters,0"
听起来似乎无法应对，但是有弱点。,"Map004.json,events,4,pages,3,list,14,parameters,0"
那就是极度\C[18]怕银器\C[0]。,"Map004.json,events,4,pages,3,list,16,parameters,0"
如果使用教会配发的银装备，可以造成致命伤。,"Map004.json,events,4,pages,3,list,17,parameters,0"
挑战吸血鬼的时候，一定要穿上银装备。,"Map004.json,events,4,pages,3,list,18,parameters,0"
\C[27]清彦,"Map004.json,events,4,pages,3,list,21,parameters,0"
「吸血『鬼』和『姬』有什么区别呢……。,"Map004.json,events,4,pages,3,list,22,parameters,0"
