猫耳娘,"Map048.json,events,2,name"
其次要适应这个身体，为了能够旅行。,"Map048.json,events,5,pages,0,list,93,parameters,0"
\!这一个星期，每天都困惑于女性的身体,"Map048.json,events,5,pages,0,list,94,parameters,0"
但是我发现这个身体的能力非常强大。,"Map048.json,events,5,pages,0,list,95,parameters,0"
吸血姬特有的能力吗，阳光照射全身感到疲倦。,"Map048.json,events,5,pages,0,list,98,parameters,0"
但是在夜晚或没有阳光的地方可以灵活行动。,"Map048.json,events,5,pages,0,list,99,parameters,0"
力量甚至超过了原来的身体。,"Map048.json,events,5,pages,0,list,100,parameters,0"
对这个身体……对女性的身体能够适应吗。,"Map048.json,events,5,pages,0,list,102,parameters,0"
\!就算裸体也不会感到困惑,"Map048.json,events,5,pages,0,list,103,parameters,0"
洗女浴，看周围女性的裸体,"Map048.json,events,5,pages,0,list,104,parameters,0"
也不会有任何感觉吗……。,"Map048.json,events,5,pages,0,list,105,parameters,0"
可怕。\!自己逐渐适应女性身体。,"Map048.json,events,5,pages,0,list,108,parameters,0"
她用力按住曾经在下体的部分。,"Map048.json,events,5,pages,0,list,109,parameters,0"
\!……那个东西，什么时候回来呢？,"Map048.json,events,5,pages,0,list,110,parameters,0"
店长,"Map048.json,events,5,pages,0,list,116,parameters,0"
「清彦，饭做好了。请你送过去」,"Map048.json,events,5,pages,0,list,117,parameters,0"
\C[27]清彦,"Map048.json,events,5,pages,0,list,122,parameters,0"
「好，好的！」,"Map048.json,events,5,pages,0,list,123,parameters,0"
店长,"Map048.json,events,5,pages,1,list,8,parameters,0"
「好了清彦，给一号桌上的客人端午餐」,"Map048.json,events,5,pages,1,list,9,parameters,0"
\C[27]清彦,"Map048.json,events,5,pages,1,list,14,parameters,0"
「好的」,"Map048.json,events,5,pages,1,list,15,parameters,0"
\C[27]清彦,"Map048.json,events,5,pages,1,list,36,parameters,0"
「饭做好了，请慢用」,"Map048.json,events,5,pages,1,list,37,parameters,0"
女,"Map048.json,events,5,pages,1,list,46,parameters,0"
「谢谢～♪」,"Map048.json,events,5,pages,1,list,47,parameters,0"
\C[27]清彦,"Map048.json,events,5,pages,1,list,49,parameters,0"
「请慢用」,"Map048.json,events,5,pages,1,list,50,parameters,0"
\C[27]清彦,"Map048.json,events,5,pages,1,list,56,parameters,0"
「（那个人，像是魔物娘。,"Map048.json,events,5,pages,1,list,57,parameters,0"
是偷偷来这里的吗？,"Map048.json,events,5,pages,1,list,58,parameters,0"
还是说，就是那种样子的魔物娘……）」,"Map048.json,events,5,pages,1,list,59,parameters,0"
变成这个身体，在这里工作已经一周了。,"Map048.json,events,5,pages,1,list,78,parameters,0"
没有身体上的不适，顺利地工作着。,"Map048.json,events,5,pages,1,list,79,parameters,0"
吸血姬的能力吗,"Map048.json,events,5,pages,1,list,81,parameters,0"
那个人是人类还是魔物娘一眼就能看出来。,"Map048.json,events,5,pages,1,list,82,parameters,0"
顺便一提，也能看出是不是原来的人类。,"Map048.json,events,5,pages,1,list,83,parameters,0"
如果能利用这个能力，或许可以做些奇怪的生意。,"Map048.json,events,5,pages,1,list,85,parameters,0"
但是，目前还没有想到那种生意的方法。,"Map048.json,events,5,pages,1,list,86,parameters,0"
也许已经对原来的身体没有太多留恋了。,"Map048.json,events,5,pages,1,list,89,parameters,0"
感觉在短短一周内已经很适应女性了。,"Map048.json,events,5,pages,1,list,90,parameters,0"
看到裸体也不会有任何感觉了。,"Map048.json,events,5,pages,1,list,93,parameters,0"
自然而然地会去女子更衣室，或者去女性专区。,"Map048.json,events,5,pages,1,list,94,parameters,0"
女性的衣物也可以毫无问题地穿着。,"Map048.json,events,5,pages,1,list,95,parameters,0"
习惯了女性的身体，真的好吗？\!,"Map048.json,events,5,pages,1,list,98,parameters,0"
她时不时地会这样想。\!,"Map048.json,events,5,pages,1,list,99,parameters,0"
明明是个男人，还是个冒险家……现在却做着这种事情。,"Map048.json,events,5,pages,1,list,100,parameters,0"
上次第一次吸了血。,"Map048.json,events,5,pages,1,list,102,parameters,0"
虽然她变成了『她』，,"Map048.json,events,5,pages,1,list,103,parameters,0"
但对方的男性并没有发生变化……。,"Map048.json,events,5,pages,1,list,104,parameters,0"
尝起来像牛排一样美味。有点上瘾，但又有点害怕。,"Map048.json,events,5,pages,1,list,105,parameters,0"
债务什么时候能还清呢。,"Map048.json,events,5,pages,1,list,107,parameters,0"
不，以这种样子出现说『我是清彦』,"Map048.json,events,5,pages,1,list,108,parameters,0"
相信的人根本就不存在。\!,"Map048.json,events,5,pages,1,list,109,parameters,0"
……这样想的话，清彦这个男人已经死了吧。,"Map048.json,events,5,pages,1,list,110,parameters,0"
店长,"Map048.json,events,5,pages,1,list,116,parameters,0"
「清彦，饭做好了。请你送过去」,"Map048.json,events,5,pages,1,list,117,parameters,0"
\C[27]清彦,"Map048.json,events,5,pages,1,list,122,parameters,0"
「好～的！」,"Map048.json,events,5,pages,1,list,123,parameters,0"
所以，也许应该放弃这个名字『清彦』。,"Map048.json,events,5,pages,1,list,125,parameters,0"
『清』这个名字，也不错呢。,"Map048.json,events,5,pages,1,list,126,parameters,0"
老爷爷,"Map048.json,events,6,name"
老爷爷,"Map048.json,events,6,pages,0,list,1,parameters,0"
「这里的店员都很可爱啊。,"Map048.json,events,6,pages,0,list,2,parameters,0"
魔物娘也不错呢」,"Map048.json,events,6,pages,0,list,3,parameters,0"
清彦,"Map048.json,events,6,pages,0,list,5,parameters,0"
「（只是个色迷迷的老爷爷吧）」,"Map048.json,events,6,pages,0,list,6,parameters,0"
老爷爷,"Map048.json,events,6,pages,1,list,1,parameters,0"
「店员啊，今天也很可爱啊」,"Map048.json,events,6,pages,1,list,2,parameters,0"
\C[27]清彦,"Map048.json,events,6,pages,1,list,5,parameters,0"
「啊...是的，非常感谢」,"Map048.json,events,6,pages,1,list,6,parameters,0"
下意识地回答。\!,"Map048.json,events,6,pages,1,list,8,parameters,0"
比起被误认为是店员,"Map048.json,events,6,pages,1,list,9,parameters,0"
心里更在意被称为『可爱』这一事实。,"Map048.json,events,6,pages,1,list,10,parameters,0"
重新俯视自己的身体，明显是女孩子的身体。,"Map048.json,events,6,pages,1,list,12,parameters,0"
而且脸也很漂亮。\!,"Map048.json,events,6,pages,1,list,13,parameters,0"
清彦注意到老爷爷的目光，盯着她的脸、胸部、腰部、臀部和腿部,"Map048.json,events,6,pages,1,list,14,parameters,0"
全身都在注视着。,"Map048.json,events,6,pages,1,list,15,parameters,0"
\C[18]被性别化地看待。\C[0]\!,"Map048.json,events,6,pages,1,list,17,parameters,0"
再次意识到自己现在的性别，身体颤抖了起来。,"Map048.json,events,6,pages,1,list,18,parameters,0"
老爷爷,"Map048.json,events,6,pages,2,list,1,parameters,0"
「店员啊，今天也很可爱啊」,"Map048.json,events,6,pages,2,list,2,parameters,0"
\C[27]清彦,"Map048.json,events,6,pages,2,list,5,parameters,0"
「那个...谢谢」,"Map048.json,events,6,pages,2,list,6,parameters,0"
被称为『可爱』。,"Map048.json,events,6,pages,2,list,8,parameters,0"
\!……对此，并没有感到不自在。,"Map048.json,events,6,pages,2,list,9,parameters,0"
不，反而感到很高兴。,"Map048.json,events,6,pages,2,list,10,parameters,0"
当男人被称为可爱时，几乎听起来都是讽刺。,"Map048.json,events,6,pages,2,list,12,parameters,0"
但...现在的她，处于被称为可爱的位置。,"Map048.json,events,6,pages,2,list,13,parameters,0"
清彦注意到老爷爷的目光，盯着她的脸、胸部、腰部、臀部和腿部,"Map048.json,events,6,pages,2,list,15,parameters,0"
全身都在注视着。,"Map048.json,events,6,pages,2,list,16,parameters,0"
看着这样一个瘦弱的身体，他们到底觉得有什么好玩的呢...。,"Map048.json,events,6,pages,2,list,17,parameters,0"
天使小姐,"Map048.json,events,7,name"
女性店员,"Map048.json,events,7,pages,0,list,1,parameters,0"
「这件衣服感觉不太习惯……」,"Map048.json,events,7,pages,0,list,2,parameters,0"
饭端上来了,"Map048.json,events,8,name"
男性,"Map048.json,events,9,name"
绿色男子,"Map048.json,events,10,name"
用餐的男人,"Map048.json,events,11,name"
饭,"Map048.json,events,12,name"
饭２,"Map048.json,events,13,name"
