植物,"Map122.json,events,1,name"
不是从内部……而是从外部强烈地传来的疼痛。\C[0],"Map122.json,events,7,pages,0,list,100,parameters,0"
与此同时，内部的疼痛几乎没有感觉到。,"Map122.json,events,7,pages,0,list,101,parameters,0"
\C[27]清彦,"Map122.json,events,7,pages,0,list,106,parameters,0"
“嗯……♡”,"Map122.json,events,7,pages,0,list,107,parameters,0"
原本只是装饰品的,"Map122.json,events,7,pages,0,list,109,parameters,0"
\C[18]胸部被揉捏的感觉\C[0]似乎稍微有点感觉。,"Map122.json,events,7,pages,0,list,110,parameters,0"
她把内侧的双腿摩擦在一起,"Map122.json,events,7,pages,0,list,111,parameters,0"
感觉到皮肤比之前更柔软。,"Map122.json,events,7,pages,0,list,112,parameters,0"
\C[27]清彦,"Map122.json,events,7,pages,0,list,114,parameters,0"
“我的内部神经变薄了……？”,"Map122.json,events,7,pages,0,list,115,parameters,0"
得出一个结论。,"Map122.json,events,7,pages,0,list,117,parameters,0"
如果之前外部和内部的比例大约是10:90,"Map122.json,events,7,pages,0,list,118,parameters,0"
现在大约是60:40。,"Map122.json,events,7,pages,0,list,119,parameters,0"
……可能比这更糟糕。,"Map122.json,events,7,pages,0,list,120,parameters,0"
难道是被那个植物抓住了？,"Map122.json,events,7,pages,0,list,124,parameters,0"
我记得当时被那根藤蔓抓住时,"Map122.json,events,7,pages,0,list,125,parameters,0"
它像包裹着我的全身一样移动。,"Map122.json,events,7,pages,0,list,126,parameters,0"
……或许那就是原因。,"Map122.json,events,7,pages,0,list,127,parameters,0"
\C[27]清彦,"Map122.json,events,7,pages,0,list,129,parameters,0"
“如果下一次，再下一次也被抓住的话,"Map122.json,events,7,pages,0,list,130,parameters,0"
‘我’会怎么样呢……？”,"Map122.json,events,7,pages,0,list,131,parameters,0"
内部的‘清彦’可能会消失。,"Map122.json,events,7,pages,0,list,133,parameters,0"
\!被这样的恐惧笼罩着，她全身颤抖。,"Map122.json,events,7,pages,0,list,134,parameters,0"
\.\.\.耳朵无力地垂下来，尾巴也无力地垂下来,"Map122.json,events,7,pages,0,list,135,parameters,0"
没有时间去确认它们是否在颤抖。,"Map122.json,events,7,pages,0,list,136,parameters,0"
只要喷洒上那个除草剂，植物就会立刻枯萎。,"Map122.json,events,7,pages,0,list,146,parameters,0"
枯萎……或者说消失了。,"Map122.json,events,7,pages,0,list,147,parameters,0"
就像除草剂是消失的触发器一样。,"Map122.json,events,7,pages,0,list,148,parameters,0"
\C[27]清彦,"Map122.json,events,7,pages,0,list,150,parameters,0"
“看来这是正确的选择”,"Map122.json,events,7,pages,0,list,151,parameters,0"
马上要看那本书了。,"Map122.json,events,7,pages,0,list,153,parameters,0"
如果能知道弱点,"Map122.json,events,7,pages,0,list,154,parameters,0"
大妖狐的分身之类的也能轻松击败。,"Map122.json,events,7,pages,0,list,155,parameters,0"
保持原样,"Map122.json,events,7,pages,0,list,161,parameters,1"
这里似乎只有一扇可开闭的门。,"Map122.json,events,7,pages,1,list,1,parameters,0"
进去后，好像可以与植物战斗……？,"Map122.json,events,7,pages,1,list,2,parameters,0"
\C[27]清彦,"Map122.json,events,7,pages,1,list,5,parameters,0"
“没问题，只要有这个除草剂……！”,"Map122.json,events,7,pages,1,list,6,parameters,0"
\C[27]清彦,"Map122.json,events,7,pages,1,list,11,parameters,0"
“下次不能再输了……。,"Map122.json,events,7,pages,1,list,12,parameters,0"
真的能赢吗？”,"Map122.json,events,7,pages,1,list,13,parameters,0"
战斗,"Map122.json,events,7,pages,1,list,18,parameters,0,0"
保持原样,"Map122.json,events,7,pages,1,list,18,parameters,0,1"
战斗,"Map122.json,events,7,pages,1,list,19,parameters,1"
这次绝对不能再输了。,"Map122.json,events,7,pages,1,list,25,parameters,0"
只要用全力的火魔法一击……！,"Map122.json,events,7,pages,1,list,26,parameters,0"
我认为战斗是一种习惯。,"Map122.json,events,7,pages,1,list,30,parameters,0"
我曾经与人类、动物等生物战斗过很多次。,"Map122.json,events,7,pages,1,list,31,parameters,0"
……但眼前的，已经不再是生物。,"Map122.json,events,7,pages,1,list,32,parameters,0"
只是普通的植物。活动的植物。,"Map122.json,events,7,pages,1,list,33,parameters,0"
我不了解战斗的原则。,"Map122.json,events,7,pages,1,list,35,parameters,0"
最坏的情况下，我认为用火魔法应该能解决……,"Map122.json,events,7,pages,1,list,36,parameters,0"
大妖狐曾说过,"Map122.json,events,7,pages,1,list,37,parameters,0"
“不会死”的话，我只能相信。,"Map122.json,events,7,pages,1,list,38,parameters,0"
只要有这个除草剂……！,"Map122.json,events,7,pages,1,list,43,parameters,0"
如果还无法击败它,"Map122.json,events,7,pages,1,list,44,parameters,0"
就用爪子、火魔法等来给予致命一击！,"Map122.json,events,7,pages,1,list,45,parameters,0"
\C[27]清彦,"Map122.json,events,7,pages,1,list,49,parameters,0"
“走吧！”,"Map122.json,events,7,pages,1,list,50,parameters,0"
\C[27]清彦,"Map122.json,events,7,pages,1,list,65,parameters,0"
“哈……哈……不、不知怎么地逃脱了……\.\.\.咳！”,"Map122.json,events,7,pages,1,list,66,parameters,0"
不止一次，竟然两次都输了。,"Map122.json,events,7,pages,1,list,68,parameters,0"
明明使用了强力的火魔法,"Map122.json,events,7,pages,1,list,69,parameters,0"
却像理所当然地被抵挡住,"Map122.json,events,7,pages,1,list,70,parameters,0"
或者说打倒后立刻复活。,"Map122.json,events,7,pages,1,list,71,parameters,0"
\C[27]清彦,"Map122.json,events,7,pages,1,list,75,parameters,0"
“哈……哈……不、不……”,"Map122.json,events,7,pages,1,list,76,parameters,0"
总算逃脱了。,"Map122.json,events,7,pages,1,list,78,parameters,0"
果然还是必须使用这个除草剂吗……。,"Map122.json,events,7,pages,1,list,83,parameters,0"
\C[27]清彦,"Map122.json,events,7,pages,1,list,94,parameters,0"
“没想到，烧掉后会立刻复活”,"Map122.json,events,7,pages,1,list,95,parameters,0"
朝着草的方向看去。,"Map122.json,events,7,pages,1,list,99,parameters,0"
尾巴像呼啦圈一样摇摆着,"Map122.json,events,7,pages,1,list,100,parameters,0"
被重心牵引着往下拉。\!,"Map122.json,events,7,pages,1,list,101,parameters,0"
……？刚才的感觉是什么。,"Map122.json,events,7,pages,1,list,102,parameters,0"
\C[27]清彦,"Map122.json,events,7,pages,1,list,106,parameters,0"
“……尾巴？”,"Map122.json,events,7,pages,1,list,107,parameters,0"
尾巴上下左右地摇动着，发出沙沙声。,"Map122.json,events,7,pages,1,list,109,parameters,0"
它真的会这样灵活地动吗？,"Map122.json,events,7,pages,1,list,110,parameters,0"
明明只是装饰品……,"Map122.json,events,7,pages,1,list,111,parameters,0"
她紧紧地握住摇动的尾巴。,"Map122.json,events,7,pages,1,list,112,parameters,0"
\C[27]清彦,"Map122.json,events,7,pages,1,list,118,parameters,0"
「咕唧！？」,"Map122.json,events,7,pages,1,list,119,parameters,0"
在游泳穿过那个游泳池时，我从未有过如此的感觉。,"Map122.json,events,7,pages,1,list,124,parameters,0"
只是轻微的刺痛感，却让我感到如此……。,"Map122.json,events,7,pages,1,list,125,parameters,0"
现在怎么样了？,"Map122.json,events,7,pages,1,list,126,parameters,0"
从握着尾巴的毛变成了握着棍子。,"Map122.json,events,7,pages,1,list,130,parameters,0"
电流瞬间从尾骨传到脊椎，发出奇怪的声音。,"Map122.json,events,7,pages,1,list,131,parameters,0"
而那种感觉不是『疼痛！』，而更接近于快感。,"Map122.json,events,7,pages,1,list,132,parameters,0"
\C[27]清彦,"Map122.json,events,7,pages,1,list,134,parameters,0"
「说起来……刚才被那家伙束缚时,"Map122.json,events,7,pages,1,list,135,parameters,0"
从耳朵和尾巴传来了一种无法集中注意力的,"Map122.json,events,7,pages,1,list,136,parameters,0"
强烈刺痛感……」,"Map122.json,events,7,pages,1,list,137,parameters,0"
看向背后。,"Map122.json,events,7,pages,1,list,139,parameters,0"
时不时地，自己的尾巴像是有意识地弯成了『へ』字形状。,"Map122.json,events,7,pages,1,list,140,parameters,0"
用颤抖的手再次触摸那样的尾巴。,"Map122.json,events,7,pages,1,list,141,parameters,0"
\C[27]清彦,"Map122.json,events,7,pages,1,list,145,parameters,0"
“嗯……♡”,"Map122.json,events,7,pages,1,list,146,parameters,0"
又感受到了一种刺痛感，但这次没关系。,"Map122.json,events,7,pages,1,list,148,parameters,0"
温柔地握住后似乎并不会有什么问题。,"Map122.json,events,7,pages,1,list,149,parameters,0"
……轻柔地抚摸着那样的尾巴。,"Map122.json,events,7,pages,1,list,150,parameters,0"
柔软而且非常温暖。,"Map122.json,events,7,pages,1,list,151,parameters,0"
\C[27]清彦,"Map122.json,events,7,pages,1,list,153,parameters,0"
「太棒了……这么蓬松。,"Map122.json,events,7,pages,1,list,154,parameters,0"
摸着它，心情也变得平静……」,"Map122.json,events,7,pages,1,list,155,parameters,0"
用梳子梳理一下，形状也会整齐。,"Map122.json,events,7,pages,1,list,157,parameters,0"
也许用微风调整一下也不错。,"Map122.json,events,7,pages,1,list,158,parameters,0"
无论怎样打理，妖狐的尾巴都能展现出最美的一面。这是常识。,"Map122.json,events,7,pages,1,list,159,parameters,0"
\C[27]清彦,"Map122.json,events,7,pages,1,list,162,parameters,0"
「……我不知道，这种常识」,"Map122.json,events,7,pages,1,list,163,parameters,0"
从未听说过。,"Map122.json,events,7,pages,1,list,165,parameters,0"
然而，当抚摸着它时，脑海中却浮现出了这样的词语。,"Map122.json,events,7,pages,1,list,166,parameters,0"
难道……是因为被包裹在皮毛中的时间增加了？,"Map122.json,events,7,pages,1,list,167,parameters,0"
不，是因为被那个植物抓住并折磨了耳朵和尾巴吗？,"Map122.json,events,7,pages,1,list,168,parameters,0"
\C[27]清彦,"Map122.json,events,7,pages,1,list,170,parameters,0"
「对了……耳朵」,"Map122.json,events,7,pages,1,list,171,parameters,0"
现在从左右两侧的脸颊完全听不到声音了。,"Map122.json,events,7,pages,1,list,173,parameters,0"
只能听到从头顶传来的声音。,"Map122.json,events,7,pages,1,list,174,parameters,0"
轻轻触摸那样的耳朵，感受到了回响的兽耳触感,"Map122.json,events,7,pages,1,list,175,parameters,0"
和被触摸兽耳的触感。,"Map122.json,events,7,pages,1,list,176,parameters,0"
\C[27]清彦,"Map122.json,events,7,pages,1,list,178,parameters,0"
「入口处的毛球也是蓬松的。,"Map122.json,events,7,pages,1,list,179,parameters,0"
但……这个毛球的内部」,"Map122.json,events,7,pages,1,list,180,parameters,0"
感觉好像被那个植物摆弄了头顶的内部。,"Map122.json,events,7,pages,1,list,183,parameters,0"
尽管尾巴的快感比耳朵的快感更强烈，,"Map122.json,events,7,pages,1,list,184,parameters,0"
虽然有点不可信，但……,"Map122.json,events,7,pages,1,list,185,parameters,0"
犹豫是否要伸进去。,"Map122.json,events,7,pages,1,list,187,parameters,0"
\!……但还是算了。,"Map122.json,events,7,pages,1,list,188,parameters,0"
如果感受到了什么，可能会觉得自己不再是人类。,"Map122.json,events,7,pages,1,list,189,parameters,0"
\C[27]清彦,"Map122.json,events,7,pages,1,list,191,parameters,0"
「……对了，身体」,"Map122.json,events,7,pages,1,list,192,parameters,0"
适度地观察着耳朵和尾巴，然后看向身体。,"Map122.json,events,7,pages,1,list,194,parameters,0"
依旧是那个深深的胸间。,"Map122.json,events,7,pages,1,list,195,parameters,0"
像是从下面托起一样，轻轻地触摸。,"Map122.json,events,7,pages,1,list,196,parameters,0"
\C[27]清彦,"Map122.json,events,7,pages,1,list,198,parameters,0"
「肩膀上的负担减轻了……」,"Map122.json,events,7,pages,1,list,199,parameters,0"
触摸到大腿。柔软。\!,"Map122.json,events,7,pages,1,list,201,parameters,0"
不是尾巴，而是屁股。又大又软。\!,"Map122.json,events,7,pages,1,list,202,parameters,0"
双腿相互摩擦。外侧的感触当然没有。\!,"Map122.json,events,7,pages,1,list,203,parameters,0"
轻轻地捏住皮肤的一部分……\!只有外侧会痛。,"Map122.json,events,7,pages,1,list,204,parameters,0"
外侧没有感触。,"Map122.json,events,7,pages,1,list,207,parameters,0"
那么内侧呢？刚才还有的……现在呢？,"Map122.json,events,7,pages,1,list,208,parameters,0"
触摸到腹部，手只是空中划过,"Map122.json,events,7,pages,1,list,213,parameters,0"
不仅外侧，内侧也变得平坦,"Map122.json,events,7,pages,1,list,214,parameters,0"
下腹部仿佛有一个气球一样。这是……。,"Map122.json,events,7,pages,1,list,215,parameters,0"
\C[27]清彦,"Map122.json,events,7,pages,1,list,217,parameters,0"
「我到底变成了什么样子——」,"Map122.json,events,7,pages,1,list,218,parameters,0"
调查得越多，绝望感就越浓。,"Map122.json,events,7,pages,1,list,220,parameters,0"
……但是，至少还有一件事。,"Map122.json,events,7,pages,1,list,221,parameters,0"
至少还有一件能证明『里面是我』的东西。,"Map122.json,events,7,pages,1,list,222,parameters,0"
\C[27]清彦,"Map122.json,events,7,pages,1,list,226,parameters,0"
「应该在这附近……\!找到了！」,"Map122.json,events,7,pages,1,list,227,parameters,0"
确认的是背后的拉链。,"Map122.json,events,7,pages,1,list,230,parameters,0"
现在无法拉下来，但只要有这个，就证明里面有一个叫清彦的男人。,"Map122.json,events,7,pages,1,list,231,parameters,0"
\C[27]清彦,"Map122.json,events,7,pages,1,list,233,parameters,0"
「太好了……」,"Map122.json,events,7,pages,1,list,234,parameters,0"
松了一口气。,"Map122.json,events,7,pages,1,list,236,parameters,0"
右手放在胸前，与柔软的物体接触时,"Map122.json,events,7,pages,1,list,237,parameters,0"
胸部也下沉，带来了一丝刺痛和痛苦,"Map122.json,events,7,pages,1,list,238,parameters,0"
但现在已经没事了。无论发生什么意外，都能承受。,"Map122.json,events,7,pages,1,list,239,parameters,0"
\C[27]清彦,"Map122.json,events,7,pages,1,list,243,parameters,0"
「好，必须找到解决办法」,"Map122.json,events,7,pages,1,list,244,parameters,0"
接下来，试着从这个除草剂开始攻击。,"Map122.json,events,7,pages,1,list,247,parameters,0"
这样想着，决定行动起来。,"Map122.json,events,7,pages,1,list,248,parameters,0"
只要喷洒上那个除草剂，植物就会立刻枯萎。,"Map122.json,events,7,pages,1,list,260,parameters,0"
枯萎……或者说消失了。,"Map122.json,events,7,pages,1,list,261,parameters,0"
就像除草剂是消失的触发器一样。,"Map122.json,events,7,pages,1,list,262,parameters,0"
\C[27]清彦,"Map122.json,events,7,pages,1,list,264,parameters,0"
“看来这是正确的选择”,"Map122.json,events,7,pages,1,list,265,parameters,0"
特地走到那个水池的价值是有的。,"Map122.json,events,7,pages,1,list,268,parameters,0"
用除草剂消灭它。如果是触发器,"Map122.json,events,7,pages,1,list,269,parameters,0"
绝对不可能用火魔法消灭它。,"Map122.json,events,7,pages,1,list,270,parameters,0"
如果除草剂是触发器,"Map122.json,events,7,pages,1,list,274,parameters,0"
那么火魔法无效也可以理解。,"Map122.json,events,7,pages,1,list,275,parameters,0"
如果更仔细地探索周围再挑战的话，就能轻松一些。,"Map122.json,events,7,pages,1,list,276,parameters,0"
虽然感觉到了皮肤的变化，但问题并不大。,"Map122.json,events,7,pages,1,list,280,parameters,0"
立刻看那本书，调查弱点。,"Map122.json,events,7,pages,1,list,281,parameters,0"
保持原样,"Map122.json,events,7,pages,1,list,287,parameters,1"
这里似乎只有一扇可开闭的门。,"Map122.json,events,7,pages,2,list,1,parameters,0"
进去后，好像可以与植物战斗……？,"Map122.json,events,7,pages,2,list,2,parameters,0"
\C[27]清彦,"Map122.json,events,7,pages,2,list,5,parameters,0"
“没问题，只要有这个除草剂……！”,"Map122.json,events,7,pages,2,list,6,parameters,0"
\C[27]清彦,"Map122.json,events,7,pages,2,list,11,parameters,0"
「我不能再输了……,"Map122.json,events,7,pages,2,list,12,parameters,0"
真的能赢吗？」,"Map122.json,events,7,pages,2,list,13,parameters,0"
\C[27]清彦,"Map122.json,events,7,pages,2,list,18,parameters,0"
「我不能再输了……,"Map122.json,events,7,pages,2,list,19,parameters,0"
真的能赢吗？」,"Map122.json,events,7,pages,2,list,20,parameters,0"
战斗,"Map122.json,events,7,pages,2,list,29,parameters,0,0"
保持原样,"Map122.json,events,7,pages,2,list,29,parameters,0,1"
战斗,"Map122.json,events,7,pages,2,list,30,parameters,1"
可以感觉到这个植物周围覆盖着特殊的魔力。,"Map122.json,events,7,pages,2,list,36,parameters,0"
可以说，它更像是一个魔法生物，而不是植物。,"Map122.json,events,7,pages,2,list,37,parameters,0"
正因为是这样的魔法生物，所以复活也可以理解。,"Map122.json,events,7,pages,2,list,39,parameters,0"
也许……火魔法虽然有效，但无法杀死它,"Map122.json,events,7,pages,2,list,40,parameters,0"
只有使用其他方法，或者攻击某个弱点,"Map122.json,events,7,pages,2,list,41,parameters,0"
才能造成致命的伤害……也说不定。,"Map122.json,events,7,pages,2,list,42,parameters,0"
可以感觉到这个植物周围覆盖着特殊的魔力。,"Map122.json,events,7,pages,2,list,47,parameters,0"
可以说，它更像是一个魔法生物，而不是植物。,"Map122.json,events,7,pages,2,list,48,parameters,0"
正因为是这样的魔法生物，所以复活也可以理解。,"Map122.json,events,7,pages,2,list,50,parameters,0"
也许……火魔法虽然有效，但无法杀死它,"Map122.json,events,7,pages,2,list,51,parameters,0"
只有使用其他方法，或者攻击某个弱点,"Map122.json,events,7,pages,2,list,52,parameters,0"
才能造成致命的伤害……也说不定。,"Map122.json,events,7,pages,2,list,53,parameters,0"
可以感觉到这个植物周围覆盖着特殊的魔力。,"Map122.json,events,7,pages,2,list,58,parameters,0"
可以说，它更像是一个魔法生物，而不是植物。,"Map122.json,events,7,pages,2,list,59,parameters,0"
正因为是这样的魔法生物，所以复活也可以理解。,"Map122.json,events,7,pages,2,list,61,parameters,0"
也许……火魔法虽然有效，但无法杀死它,"Map122.json,events,7,pages,2,list,62,parameters,0"
