「太完美了，清彦君。,"Map255.json,events,2,pages,0,list,71,parameters,0"
城里的『淫魔』完全消失了。\.\.,"Map255.json,events,2,pages,0,list,72,parameters,0"
接下来使用传送魔法离开这里――。,"Map255.json,events,2,pages,0,list,73,parameters,0"
店长一直保持着不变的表情，嘴巴却,"Map255.json,events,2,pages,0,list,75,parameters,0"
张得大大的，眉毛也动了动。,"Map255.json,events,2,pages,0,list,76,parameters,0"
到底怎么了呢？,"Map255.json,events,2,pages,0,list,77,parameters,0"
店长俯视着他。,"Map255.json,events,2,pages,0,list,79,parameters,0"
\!……？\.\.奇怪。,"Map255.json,events,2,pages,0,list,80,parameters,0"
清彦作为男人，明明身高要高得多。,"Map255.json,events,2,pages,0,list,81,parameters,0"
然而……为什么会被俯视呢？,"Map255.json,events,2,pages,0,list,83,parameters,0"
为什么，自己在仰视店长呢？,"Map255.json,events,2,pages,0,list,84,parameters,0"
到底发生了什么？,"Map255.json,events,2,pages,0,list,92,parameters,0"
他慌忙地低头看着自己的身体。\!,"Map255.json,events,2,pages,0,list,93,parameters,0"
映入眼帘的是……。,"Map255.json,events,2,pages,0,list,94,parameters,0"
\C[27]清彦,"Map255.json,events,2,pages,0,list,99,parameters,0"
「诶――。,"Map255.json,events,2,pages,0,list,100,parameters,0"
那只是稍微隆起的小胸脯。,"Map255.json,events,2,pages,0,list,103,parameters,0"
自然地挺胸，突出臀部,"Map255.json,events,2,pages,0,list,104,parameters,0"
身体的形状。,"Map255.json,events,2,pages,0,list,105,parameters,0"
触摸稍微隆起的胸部，有弹性。\!,"Map255.json,events,2,pages,0,list,107,parameters,0"
下体的重量感和感觉完全消失,"Map255.json,events,2,pages,0,list,108,parameters,0"
衣物紧贴在下体上也不痛。,"Map255.json,events,2,pages,0,list,109,parameters,0"
触摸下体……那里只有空气。,"Map255.json,events,2,pages,0,list,111,parameters,0"
俯视下去，平常能看到的那个东西完全消失了……。,"Map255.json,events,2,pages,0,list,112,parameters,0"
每次动一下，肩膀和背上都会碰到某物。,"Map255.json,events,2,pages,0,list,114,parameters,0"
那是延伸到腰部的，打理得很好的头发。,"Map255.json,events,2,pages,0,list,115,parameters,0"
有一种好闻的气味。,"Map255.json,events,2,pages,0,list,116,parameters,0"
大腿上有着及膝袜的感觉让人不安。,"Map255.json,events,2,pages,0,list,118,parameters,0"
有弹性，虽然幼小但有肉感的大腿,"Map255.json,events,2,pages,0,list,119,parameters,0"
与腿部的分界线，似乎会让一部分人欢喜。,"Map255.json,events,2,pages,0,list,120,parameters,0"
巧妙地摆动着背后的翅膀,"Map255.json,events,2,pages,0,list,122,parameters,0"
臀部的某物也在扭动。,"Map255.json,events,2,pages,0,list,123,parameters,0"
顶端是黑色心形的形状,"Map255.json,events,2,pages,0,list,124,parameters,0"
神秘的液体，滴答滴答地落下来。,"Map255.json,events,2,pages,0,list,125,parameters,0"
他呆呆地凝视着自己的身体，触摸着，动弹着,"Map255.json,events,2,pages,0,list,129,parameters,0"
过了一段时间，慢慢地转动了头,"Map255.json,events,2,pages,0,list,130,parameters,0"
小心翼翼地……抬起了视线,"Map255.json,events,2,pages,0,list,131,parameters,0"
与店长对视。,"Map255.json,events,2,pages,0,list,132,parameters,0"
\C[27]清彦,"Map255.json,events,2,pages,0,list,134,parameters,0"
「那个……\.\.这个……\.\.\.是」,"Map255.json,events,2,pages,0,list,135,parameters,0"
店长,"Map255.json,events,2,pages,0,list,140,parameters,0"
「谢谢你拯救了世界。,"Map255.json,events,2,pages,0,list,141,parameters,0"
（看这清澈的眼神就知道了。,"Map255.json,events,2,pages,0,list,142,parameters,0"
不是淫魔，是清彦君本人）」,"Map255.json,events,2,pages,0,list,143,parameters,0"
店长转过头，喃喃自语。\!,"Map255.json,events,2,pages,0,list,145,parameters,0"
从那双眼睛和反应中可以看出。,"Map255.json,events,2,pages,0,list,146,parameters,0"
清彦的变化是出乎意料的，而且――。,"Map255.json,events,2,pages,0,list,147,parameters,0"
店长,"Map255.json,events,2,pages,0,list,151,parameters,0"
「……对不起，我不知道怎么恢复。,"Map255.json,events,2,pages,0,list,152,parameters,0"
精神上看起来像是原来的清彦君……\.\.呢」,"Map255.json,events,2,pages,0,list,153,parameters,0"
咚。\C[27]她\C[0]的身体一瞬间失去平衡倒在地上。,"Map255.json,events,2,pages,0,list,159,parameters,0"
这不是体力上的疲劳，而是精神上的冲击。,"Map255.json,events,2,pages,0,list,160,parameters,0"
店长,"Map255.json,events,2,pages,0,list,162,parameters,0"
「……虽然我已经多次将人类变成魔物娘,"Map255.json,events,2,pages,0,list,163,parameters,0"
但这样做实在是可怜，而且还是幼女化的年龄变化。,"Map255.json,events,2,pages,0,list,164,parameters,0"
是不是应该进行恢复的研究呢」,"Map255.json,events,2,pages,0,list,165,parameters,0"
多次进行非人道行为的店长。,"Map255.json,events,2,pages,0,list,167,parameters,0"
即使是这样的店长，也感到罪恶感。\!,"Map255.json,events,2,pages,0,list,168,parameters,0"
――到底，她的人生……不，魔物娘生,"Map255.json,events,2,pages,0,list,169,parameters,0"
会变成什么样子呢。,"Map255.json,events,2,pages,0,list,170,parameters,0"
――数天后。,"Map255.json,events,2,pages,0,list,174,parameters,0"
