"键盘输入接受
","CommonEvents.json,1,name"
清彦,"CommonEvents.json,15,list,33,parameters,0"
“……时间差不多了吧？”,"CommonEvents.json,15,list,34,parameters,0"
清彦,"CommonEvents.json,15,list,47,parameters,0"
『（...好了。,"CommonEvents.json,15,list,48,parameters,0"
轻轻地，尽量不要惊到她）』,"CommonEvents.json,15,list,49,parameters,0"
清彦,"CommonEvents.json,15,list,66,parameters,0"
『（她很警惕。,"CommonEvents.json,15,list,67,parameters,0"
嗯，现在使用魔法...）』,"CommonEvents.json,15,list,68,parameters,0"
清彦,"CommonEvents.json,15,list,72,parameters,0"
『好了，你能说话了吗？,"CommonEvents.json,15,list,73,parameters,0"
我叫清彦... 突然过来真不好意思』,"CommonEvents.json,15,list,74,parameters,0"
猫娘,"CommonEvents.json,15,list,76,parameters,0"
『...喵？,"CommonEvents.json,15,list,77,parameters,0"
真的，能说人类的话了喵！』,"CommonEvents.json,15,list,78,parameters,0"
猫娘,"CommonEvents.json,15,list,83,parameters,0"
『好高兴喵～。,"CommonEvents.json,15,list,84,parameters,0"
这就是人类的语言吗喵～♪』,"CommonEvents.json,15,list,85,parameters,0"
清彦,"CommonEvents.json,15,list,88,parameters,0"
『嗯，所以...,"CommonEvents.json,15,list,89,parameters,0"
你愿意成为我的使魔吗？,"CommonEvents.json,15,list,90,parameters,0"
我不会做坏事的』,"CommonEvents.json,15,list,91,parameters,0"
猫娘,"CommonEvents.json,15,list,95,parameters,0"
『成为喵！成为喵！,"CommonEvents.json,15,list,96,parameters,0"
不过，有一个条件喵』,"CommonEvents.json,15,list,97,parameters,0"
清彦,"CommonEvents.json,15,list,99,parameters,0"
『条件？』,"CommonEvents.json,15,list,100,parameters,0"
猫娘,"CommonEvents.json,15,list,104,parameters,0"
『只要我能成为人类喵！,"CommonEvents.json,15,list,105,parameters,0"
变成人类！！！！！！』,"CommonEvents.json,15,list,106,parameters,0"
猫娘,"CommonEvents.json,15,list,114,parameters,0"
『...怎么了喵？发生了什么喵...？!嗯？』,"CommonEvents.json,15,list,115,parameters,0"
清彦,"CommonEvents.json,15,list,121,parameters,0"
『成功了喵... 不对，,"CommonEvents.json,15,list,122,parameters,0"
成功了，对吧... 嘻嘻嘻』,"CommonEvents.json,15,list,123,parameters,0"
『这、这是什么情况喵！？,"CommonEvents.json,15,list,126,parameters,0"
为什么我\C[18]『我』\C[0]在那里！？,"CommonEvents.json,15,list,127,parameters,0"
我的声音怎么变得奇怪了喵』,"CommonEvents.json,15,list,128,parameters,0"
清彦,"CommonEvents.json,15,list,132,parameters,0"
『你还不明白吗？,"CommonEvents.json,15,list,133,parameters,0"
这个说话习惯可不容易改掉喵』,"CommonEvents.json,15,list,134,parameters,0"
清彦？,"CommonEvents.json,15,list,136,parameters,0"
『嗯... 你还不明白吗？,"CommonEvents.json,15,list,137,parameters,0"
\C[18]我们互换了，你和我的身体对换了吧？』,"CommonEvents.json,15,list,138,parameters,0"
\C[27]清彦,"CommonEvents.json,15,list,151,parameters,0"
『那...那不对，呃... 不对。,"CommonEvents.json,15,list,152,parameters,0"
这样的魔法怎么可能存在喵！』,"CommonEvents.json,15,list,153,parameters,0"
猫娘,"CommonEvents.json,15,list,155,parameters,0"
『可是，它确实是存在的。,"CommonEvents.json,15,list,156,parameters,0"
毕竟我们明明都发生身体互换了喵。,"CommonEvents.json,15,list,157,parameters,0"
现在的你是只猫娘了』,"CommonEvents.json,15,list,158,parameters,0"
猫娘,"CommonEvents.json,15,list,160,parameters,0"
『你现在是一只\C[27]弱小的雌性\C[0]。,"CommonEvents.json,15,list,161,parameters,0"
幸运吧，女孩的身体也不错哦？』,"CommonEvents.json,15,list,162,parameters,0"
\C[27]清彦,"CommonEvents.json,15,list,168,parameters,0"
『呼……别开玩笑了，让我恢复原样吧！』,"CommonEvents.json,15,list,169,parameters,0"
猫娘,"CommonEvents.json,15,list,171,parameters,0"
『啊，是的，没错。,"CommonEvents.json,15,list,172,parameters,0"
我迟早会还你原样，但在那之前嘛......。,"CommonEvents.json,15,list,173,parameters,0"
\!『完成使魔契约！』」,"CommonEvents.json,15,list,174,parameters,0"
\C[27]清彦,"CommonEvents.json,15,list,178,parameters,0"
『喵、喵喵喵！！？！？？！？,"CommonEvents.json,15,list,179,parameters,0"
（契约！？我什么时候签的契约！,"CommonEvents.json,15,list,180,parameters,0"
呃......！我说的话）』,"CommonEvents.json,15,list,181,parameters,0"
猫娘,"CommonEvents.json,15,list,183,parameters,0"
『别慌。,"CommonEvents.json,15,list,184,parameters,0"
你刚刚不是说过吗，『契约』什么的。,"CommonEvents.json,15,list,185,parameters,0"
现在可不能反悔哦？』,"CommonEvents.json,15,list,186,parameters,0"
\C[27]清彦,"CommonEvents.json,15,list,188,parameters,0"
『喵！喵喵喵！！！,"CommonEvents.json,15,list,189,parameters,0"
（别闹了！这不是你说的吗！）』,"CommonEvents.json,15,list,190,parameters,0"
猫娘,"CommonEvents.json,15,list,192,parameters,0"
『你在说什么?我可不明白。,"CommonEvents.json,15,list,193,parameters,0"
走吧，得先向把你介绍给我的那家伙道个谢。』,"CommonEvents.json,15,list,194,parameters,0"
\C[27]清彦,"CommonEvents.json,15,list,225,parameters,0"
『喵……喵喵……。,"CommonEvents.json,15,list,226,parameters,0"
（我的身体在自己动……？,"CommonEvents.json,15,list,227,parameters,0"
不爱娜温这样，快还我原样！）』,"CommonEvents.json,15,list,228,parameters,0"
"猫娘化事件测试
","CommonEvents.json,15,name"
"攻击两个男人
","CommonEvents.json,17,name"
"防御两个男人
","CommonEvents.json,18,name"
"对两个男人使用恢复魔法
","CommonEvents.json,19,name"
"对两个男人使用物品
","CommonEvents.json,20,name"
"攻击基奥卡
","CommonEvents.json,22,name"
"连续攻击基奥卡
","CommonEvents.json,23,name"
"防御基奥卡
","CommonEvents.json,24,name"
"对基奥卡使用物品
","CommonEvents.json,25,name"
"清彦感染
","CommonEvents.json,27,name"
"爱娜温种族释放OK
","CommonEvents.json,28,name"
清彦,"CommonEvents.json,30,list,3,parameters,0"
头......不，整个大脑都好像在摇晃。,"CommonEvents.json,30,list,6,parameters,0"
\!但奇怪的是，并不感到恶心。,"CommonEvents.json,30,list,7,parameters,0"
相反，感觉到一种愉悦。,"CommonEvents.json,30,list,8,parameters,0"
清彦,"CommonEvents.json,30,list,10,parameters,0"
『主要是因为这个......？!嗯？』,"CommonEvents.json,30,list,11,parameters,0"
摇晃......\!不，我注意到有东西从头顶延伸到下面。,"CommonEvents.json,30,list,13,parameters,0"
延伸。好像绷紧了一样。,"CommonEvents.json,30,list,14,parameters,0"
也不知道这种表达准不准确。,"CommonEvents.json,30,list,15,parameters,0"
一些细小的东西在他的身体内快速穿梭。,"CommonEvents.json,30,list,20,parameters,0"
而且速度极快。,"CommonEvents.json,30,list,21,parameters,0"
\!一瞬间，从头到脚，颈部、胸膛、手臂、腹部，一直延伸到脚尖。\!,"CommonEvents.json,30,list,22,parameters,0"
看到自己的血管一瞬间鼓起来的样子，让他感到恶寒。,"CommonEvents.json,30,list,23,parameters,0"
清彦,"CommonEvents.json,30,list,25,parameters,0"
「到底发生了什么？\!,"CommonEvents.json,30,list,26,parameters,0"
谁在对我做什么？\.\.\.我正在经历什么——。,"CommonEvents.json,30,list,27,parameters,0"
\C[27] 清彦,"CommonEvents.json,30,list,33,parameters,0"
「呃——。,"CommonEvents.json,30,list,34,parameters,0"
噗哇。感觉身体被抬起来了。,"CommonEvents.json,30,list,36,parameters,0"
有一瞬间，视野好像晃动了一下，,"CommonEvents.json,30,list,37,parameters,0"
但很快恢复了正常。,"CommonEvents.json,30,list,38,parameters,0"
\C[27]清彦,"CommonEvents.json,30,list,48,parameters,0"
『发、发生了什么事啊！？』,"CommonEvents.json,30,list,49,parameters,0"
完全搞不明白。\!,"CommonEvents.json,30,list,51,parameters,0"
短短几秒内发生了什么。,"CommonEvents.json,30,list,52,parameters,0"
当他看向自己的身体时，他突然发现衣物不见了，,"CommonEvents.json,30,list,53,parameters,0"
整个身体变成了绿色。,"CommonEvents.json,30,list,54,parameters,0"
头部感到的重量。,"CommonEvents.json,30,list,56,parameters,0"
摸到的是叶子和柔软的东西......花瓣。,"CommonEvents.json,30,list,57,parameters,0"
而且比刚才还要大，,"CommonEvents.json,30,list,58,parameters,0"
没法保持平衡，感觉有点让人烦躁。,"CommonEvents.json,30,list,59,parameters,0"
全身感受到了宜人的风，头发随风飘扬，与此同时,"CommonEvents.json,30,list,61,parameters,0"
视爱娜温挡，胸前的一部分暴露在外，,"CommonEvents.json,30,list,62,parameters,0"
宜人的风\C[27]缓和了她\C[0]的身体。,"CommonEvents.json,30,list,63,parameters,0"
但此刻的她已经没有心思去在意这些。,"CommonEvents.json,30,list,64,parameters,0"
\C[18]她的身体已经彻底改变了——。\C[0],"CommonEvents.json,30,list,66,parameters,0"
\!胸部变得更大，跨部的感觉也消失了。,"CommonEvents.json,30,list,67,parameters,0"
本来应该摇摆的那个东西不见了。,"CommonEvents.json,30,list,69,parameters,0"
触碰时，感觉到胯部被一种像叶子一样的东西覆盖着。\!,"CommonEvents.json,30,list,70,parameters,0"
不管触碰多少次，只是划过空气，,"CommonEvents.json,30,list,71,parameters,0"
就好像从出生起就没有存在一样......。,"CommonEvents.json,30,list,72,parameters,0"
双腿上缠绕着长满刺的藤蔓。,"CommonEvents.json,30,list,74,parameters,0"
一般情况下，被这种东西缠绕会感到剧痛。,"CommonEvents.json,30,list,75,parameters,0"
\!但是......什么都没有发生。,"CommonEvents.json,30,list,76,parameters,0"
刺应该会扎进大腿，但却一点痛感都没有。,"CommonEvents.json,30,list,77,parameters,0"
\C[27] 清彦,"CommonEvents.json,30,list,80,parameters,0"
“这是什么？”,"CommonEvents.json,30,list,81,parameters,0"
我不明白。完全无法理解。,"CommonEvents.json,30,list,83,parameters,0"
一切都变化得太快了，让人难以理解。,"CommonEvents.json,30,list,84,parameters,0"
\C[27]清彦,"CommonEvents.json,30,list,86,parameters,0"
『要快点，不然......！』,"CommonEvents.json,30,list,87,parameters,0"
头脑一片混乱。身体发生了彻底的改变。,"CommonEvents.json,30,list,89,parameters,0"
现在她只能赶紧前往教堂。,"CommonEvents.json,30,list,90,parameters,0"
想到这一点......然后她决定继续前进。,"CommonEvents.json,30,list,91,parameters,0"
"爱娜温转化第二阶段
","CommonEvents.json,30,name"
\C[27] 清彦,"CommonEvents.json,31,list,4,parameters,0"
“哎呀...！”,"CommonEvents.json,31,list,5,parameters,0"
下半身仿佛被束缚住一般无法移动。,"CommonEvents.json,31,list,7,parameters,0"
接着，下半身发出声响，似乎有什么东西出现了。,"CommonEvents.json,31,list,8,parameters,0"
\C[27]清彦,"CommonEvents.json,31,list,12,parameters,0"
『不行，停下来！停下来，拜托！』,"CommonEvents.json,31,list,13,parameters,0"
那个东西包裹着她的下半身。,"CommonEvents.json,31,list,15,parameters,0"
虽然不知道那是什么东西,"C爱娜温onEvents.json,31,list,16,parameters,0"
但奇怪的是，感觉就像是穿着习惯的裤子一样。,"CommonEvents.json,31,list,17,parameters,0"
就像气球一样，它膨胀起来。,"CommonEvents.json,31,list,22,parameters,0"
......她好像在曾经某个地方见过。,"CommonEvents.json,31,list,23,parameters,0"
根部是粉红色的，球根是紫色的。,"CommonEvents.json,31,list,25,parameters,0"
腰下被温柔地包裹在粉红色的花瓣中，,"CommonEvents.json,31,list,26,parameters,0"
球茎上有几条正在蠕动的怪异触手。,"CommonEvents.json,31,list,27,parameters,0"
下半身完全包裹在球根内，,"CommonEvents.json,31,list,29,parameters,0"
内部似乎充满了水分，,"CommonEvents.json,31,list,30,parameters,0"
不断像半身浴一样包裹着她的身体。,"CommonEvents.json,31,list,31,parameters,0"
\C[27]清爱娜温CommonEvents.json,31,list,39,parameters,0"
『这个......呃......！』,"CommonEvents.json,31,list,40,parameters,0"
采取了一种仿佛在挺起膨胀胸部的姿势。,"CommonEvents.json,31,list,44,parameters,0"
对于\C[18]女性的骨骼\C[0]来说，这当然是理所当然的动作。,"CommonEvents.json,31,list,45,parameters,0"
用右手托住膨胀的胸部。,"CommonEvents.json,31,list,47,parameters,0"
这沉甸甸的胸部终于让我轻松多了。,"CommonEvents.json,31,list,48,parameters,0"
用左手摸索着，试图找到以前的伙伴……但……仍然一无所获。,"CommonEvents.json,31,list,50,parameters,0"
黏糊糊的液体弄湿了她的左手。,"CommonEvents.json,31,list,51,parameters,0"
周围漂浮的触手似乎是从球茎生长出来的。,"CommonEvents.json,31,list,53,parameters,0"
控制起来虽然不太容易……但是，如果想要往右边去,"CommonEvents.json,31,list,54,parameters,0"
它们还是会慢慢地往右边扭动的。,"CommonEvents.json,31,list,55,parameters,0"
\C[27]清彦,"CommonEvents.json,31,list,57,parameters,0"
『那个……魔物，娘……』,"CommonEvents.json,31,list,58,parameters,0"
刚刚，她击败的绿色魔物娘……爱娜温。!,"CommonEvents.json,31,list,60,parameters,0"
那个魔物娘刚刚对她做了些什么,"CommonEvents.json,31,list,61,parameters,0"
导致她的身体变色，性别发生变化，长出了球茎……,"CommonEvents.json,31,list,62,parameters,0"
还有触手。,"CommonEvents.json,31,list,63,parameters,0"
\C[27]清彦,"CommonEvents.json,31,list,65,parameters,0"
『快告诉我这不是真的。,"CommonEvents.json,31,list,66,parameters,0"
刚才，我还是人类的男人不是吗。,"CommonEvents.json,31,list,67,parameters,0"
但是，为什么……仅仅几分钟内……！』,"CommonEvents.json,31,list,68,parameters,0"
我完全无法面对现实。,"CommonEvents.json,31,list,72,parameters,0"
是的，刚刚还是人类男性。,"CommonEvents.json,31,list,73,parameters,0"
如今，变成了与爱娜温没有什么不同的\C[18]魔物娘\C[0]的形象。,"CommonEvents.json,31,list,74,parameters,0"
现在，甚至说她是\C[18]这片森林的居民\C[0]也不为过。,"CommonEvents.json,31,list,75,parameters,0"
我爱娜温该怎么走路。明明没有脚，但是，怎么办……？,"CommonEvents.json,31,list,80,parameters,0"
腿没法从球茎中出来。,"CommonEvents.json,31,list,91,parameters,0"
虽然感觉到脚，但却只能在球茎内移动。,"CommonEvents.json,31,list,92,parameters,0"
因此只能在原地打转。,"CommonEvents.json,31,list,93,parameters,0"
当然，跳跃之类的也是不可能的。,"CommonEvents.json,31,list,94,parameters,0"
\C[爱娜温要赶快！\!\C[0],"CommonEvents.json,31,list,96,parameters,0"
爱娜温何，必须赶紧动起来，,"CommonEvents.json,31,list,97,parameters,0"
否则就可爱娜温及了。,"CommonEvents.json,31,list,98,parameters,0"
就在那时。!球茎突然又移动了。\.\.,"CommonEvents.json,31,list,104,parameters,0"
\C[18]就像是……球茎和她的下半身融为一体一样,"CommonEvents.json,31,list,105,parameters,0"
融合的过程非常流畅。,"CommonEvents.json,31,list,106,parameters,0"
腿……不对，球茎的每一个根都可以自由移动。,"CommonEvents.json,31,list,108,parameters,0"
我知道该怎么移动了。现在应该不会有移动的困扰了……。,"CommonEvents.json,31,list,109,parameters,0"
!但是，我知道该怎么移动了……。,"CommonEvents.json,31,list,110,parameters,0"
!不，\C[18]我知道了。\C[0]这意味着……。,"CommonEvents.json,31,list,111,parameters,0"
\C[27]清彦,"CommonEvents.json,31,list,113,parameters,0"
『还、还不……！还不能、放弃！!,"CommonEvents.json,31,list,114,parameters,0"
我才不要成为魔物娘……！!,"CommonEvents.json,31,list,115,parameters,0"
可以恢复……的！等着我，老妈……！』,"CommonEvents.json,31,list,116,parameters,0"
她陷入了恐慌，眼泪都快流出来了，声音也变得嘶哑。,"CommonEvents.json,31,list,118,parameters,0"
但是……还有最后的希望,"CommonEvents.json,31,list,119,parameters,0"
这希望是她的唯一动力。,"CommonEvents.json,31,list,120,parameters,0"
\!究竟……爱娜温变回来吗？,"CommonEvents.json,31,list,121,parameters,0"
"爱娜温转化第三阶段
","CommonEvents.json,31,name"
\C[27]清彦,"CommonEvents.json,32,list,8,parameters,0"
『啊……』,"CommonEvents.json,32,list,9,parameters,0"
就像当初变爱娜温身体的时候一样，,"CommonEvents.json,32,list,12,parameters,0"
从我头上的玫爱娜温传来了某种未知的东西……。\!,"CommonEvents.json,32,list,13,parameters,0"
不，是爱娜温花的花蜜弥漫了我的全身。,"CommonEvents.json,32,list,14,parameters,0"
爱娜温利用从根部吸收的水分和阳光获取的养分，制造蜜。,"CommonEvents.json,32,list,16,parameters,0"
这蜜充当爱娜温的血液，流遍全身。,"CommonEvents.json,32,list,17,parameters,0"
而这也是她的能量来源，能够维持她的生命。,"CommonEvents.json,32,list,18,parameters,0"
蜜……可以看到正流向触手。,"CommonEvents.json,32,list,20,parameters,0"
先前移动不太灵活的触手,"CommonEvents.json,32,list,21,parameters,0"
突然颤抖了一下，每根触手的感觉都变得更加敏锐。,"CommonEvents.json,32,list,22,parameters,0"
先前只能轻微爱娜温动……。,"CommonEvents.json,32,list,24,parameters,0"
不知不觉间，三根、四根触手……,"CommonEvents.json,32,list,25,parameters,0"
竟然都可以上下左右自由自在地移动爱娜温"CommonEvents.json,32,list,26,parameters,0"
触手的芽在慢慢地开始绽放。\!,"CommonEvents.json,32,list,31,parameters,0"
其中，最大的芽变成了爱娜温常非常大的花,"CommonEvents.json,32,list,32,parameters,0"
与头上的玫瑰不相上下。,"CommonEvents.json,32,list,33,parameters,0"
咕噗……。然后，芽的口缓缓张开。,"CommonEvents.json,32,list,37,parameters,0"
\!不，是芽爱娜温自行张开了。\!,"CommonEvents.json,32,list,38,parameters,0"
从正面看，它有一排整齐的牙齿，,"CommonEvents.json,32,list,39,parameters,0"
给人以一种怪诞的印象。,"CommonEvents.json,32,list,40,parameters,0"
\C[27]爱娜温,"CommonEvents.json,32,list,43,parameters,0"
『啊哈爱娜温』,"CommonEvents.json,32,list,44,parameters,0"
\C[18]身体终于融为一体了♡\C[0]\!,"CommonEvents.json,32,list,56,parameters,0"
玫瑰花也是。身体也是。根也是。触手也是……♡,"CommonEvents.json,32,list,57,parameters,0"
所有的一切，\C[27]都是属于我\C[0]的。,"CommonEvents.json,32,list,58,parameters,0"
C[27]爱娜温,"CommonEvents.json,32,list,63,parameters,0"
『我，成为了爱娜温呢……♪,"CommonEvents.json,32,list,64,parameters,0"
\!好高兴呀♡』,"CommonEvents.json,32,list,65,parameters,0"
\C[18]充满幸福感。\!\C[0],"CommonEvents.json,32,list,67,parameters,0"
明明刚才还在陷入恐慌，如今却像是过往云烟一般。,"CommonEvents.json,32,list,68,parameters,0"
她将手放在脸颊上，身体摇晃着。\!,"CommonEvents.json,32,list,70,parameters,0"
玫瑰、球茎和触手们似乎也在为她祝福。,"CommonEvents.json,32,list,71,parameters,0"
不仅如此。,"CommonEvents.json,32,list,72,parameters,0"
\!整片森林的居民也都在为她的诞生庆祝。,"CommonEvents.json,32,list,73,parameters,0"
\C[27]爱娜温,"CommonEvents.json,32,list,77,parameters,0"
『好高兴呀……♡谢谢大家♪,"CommonEvents.json,32,list,78,parameters,0"
\!我今后一定也会成为一名出色的爱娜温……♡』,"CommonEvents.json,32,list,79,parameters,0"
我觉得作为男人时的记忆已经模糊了。,"CommonEvents.json,32,list,81,parameters,0"
但更重要的是我能成为爱娜温，这让我很开心。,"CommonEvents.json,32,list,82,parameters,0"
\!关于我还是男人时……什么是男人？,"CommonEvents.json,32,list,83,parameters,0"
\!关于人类……我也已不再了解。,"CommonEvents.json,32,list,84,parameters,0"
\C[27]爱娜温,"CommonEvents.json,32,list,86,parameters,0"
『嘻嘻……♪,"CommonEvents.json,32,list,87,parameters,0"
那么，先回到\C[18]森林的深处\C[27]了吧……♡,"CommonEvents.json,32,list,88,parameters,0"
得把宝贝还回去……♪』,"CommonEvents.json,32,list,89,parameters,0"
"完全爱娜温转化
","CommonEvents.json,32,name"
[调试菜单]请选择变化程度,"CommonEvents.json,34,list,1,parameters,0"
设置为初始状态（人鱼1）,"CommonEvents.json,34,list,2,parameters,0,0"
设置为人鱼2,"CommonEvents.json,34,list,2,parameters,0,1"
设置为人鱼3,"CommonEvents.json,34,list,2,parameters,0,2"
设置为人鱼4,"CommonEvents.json,34,list,2,parameters,0,3"
设置为人鱼5,"CommonEvents.json,34,list,2,parameters,0,4"
其他,"CommonEvents.json,34,list,2,parameters,0,5"
设置为初始状态（人鱼1）,"CommonEvents.json,34,list,3,parameters,1"
设置为人鱼2,"CommonEvents.json,34,list,19,parameters,1"
设置为人鱼3,"CommonEvents.json,34,list,35,parameters,1"
设置为人鱼4,"CommonEvents.json,34,list,51,parameters,1"
设置为人鱼5,"CommonEvents.json,34,list,67,parameters,1"
其他,"CommonEvents.json,34,list,83,parameters,1"
设置为美人鱼,"CommonEvents.json,34,list,84,parameters,0,0"
返回,"CommonEvents.json,34,list,84,parameters,0,1"
设置为美人鱼,"CommonEvents.json,34,list,85,parameters,1"
返回,"CommonEvents.json,34,list,101,parameters,1"
"人鱼章节调试
","CommonEvents.json,34,name"
"攻击卫兵次数
","CommonEvents.json,36,name"
"第一次使用火魔法在草上
","CommonEvents.json,38,name"
"除草标志
","CommonEvents.json,39,name"
"触摸根部
","CommonEvents.json,40,name"
"妖狐使用大妖狐的爪攻击
","CommonEvents.json,42,name"
"妖狐使用魔法攻击
","CommonEvents.json,43,name"
"妖狐进行防御
","CommonEvents.json,44,name"
"哈比开关
","CommonEvents.json,46,name"
"进入口传送
","CommonEvents.json,47,name"
"传送到旅馆前
","CommonEvents.json,49,name"
打败魅魔,"CommonEvents.json,50,name"
反映出了完全改变的自己的形象。,"CommonEvents.json,53,list,5,parameters,0"
查看,"CommonEvents.json,53,list,6,parameters,0,0"
触摸身体,"CommonEvents.json,53,list,6,parameters,0,1"
停止观看,"CommonEvents.json,53,list,6,parameters,0,2"
查看,"CommonEvents.json,53,list,7,parameters,1"
她凝视着自己的形象。,"CommonEvents.json,53,list,16,parameters,0"
头发的颜色，长度，体格，人类身上没有的器官，性别。,"CommonEvents.json,53,list,17,parameters,0"
一切都与\C[18]她\C[0]的原貌不同。,"CommonEvents.json,53,list,18,parameters,0"
她开始关注起自己身体的某一部分。,"CommonEvents.json,53,list,19,parameters,0"
\C[27]清彦,"CommonEvents.json,53,list,22,parameters,0"
『瞳孔……变成纵向的了？』,"CommonEvents.json,53,list,23,parameters,0"
她将注意力集中在眼睛上，而不是自己的性器官或翅膀上。,"CommonEvents.json,53,list,25,parameters,0"
眼睛的颜色发生了变化，瞳孔变成了纵向的。\C[18]就像动物一样。\C[0],"CommonEvents.json,53,list,26,parameters,0"
也许，她的结构与变得和人类不同了。,"CommonEvents.json,53,list,27,parameters,0"
\C[27]清彦,"CommonEvents.json,53,list,29,parameters,0"
"『无论怎么看，这明明就是一个""魔物娘""。","CommonEvents.json,53,list,30,parameters,0"
该死……绝对讨厌这样的身体。,"CommonEvents.json,53,list,31,parameters,0"
一定要变回人类。一定。』,"CommonEvents.json,53,list,32,parameters,0"
触摸身体,"CommonEvents.json,53,list,36,parameters,1"
这只是一些小小的好奇心而已。,"CommonEvents.json,53,list,42,parameters,0"
当她注意到自己的行为时，,"CommonEvents.json,53,list,44,parameters,0"
镜子中正反映出一个右手放在胸部，左手放在胯部的少女形象。,"CommonEvents.json,53,list,45,parameters,0"
我的手指探入了一个本不该存在的柔软胸部\!,"CommonEvents.json,53,list,47,parameters,0"
而原本应该存在的下体也变得平坦。,"CommonEvents.json,53,list,48,parameters,0"
\C[18]有。没有。\C[0]\!,"CommonEvents.json,53,list,51,parameters,0"
确认了这一点之后……她突然感到害羞。,"CommonEvents.json,53,list,52,parameters,0"
\!我到底在做什么……！？,"CommonEvents.json,53,list,53,parameters,0"
\C[27]清彦,"CommonEvents.json,53,list,60,parameters,0"
『……从某种意义上说，这很危险。』,"CommonEvents.json,53,list,61,parameters,0"
停止触摸，她低声嘟囔后，重新凝视着镜子。,"CommonEvents.json,53,list,63,parameters,0"
透过衣物\C[18]触摸了胸部和胯部\C[0]。,"CommonEvents.json,53,list,64,parameters,0"
接下来要做的事情……就是……。,"CommonEvents.json,53,list,65,parameters,0"
\C[27]清彦,"CommonEvents.json,53,list,68,parameters,0"
『裙子底下……!啊！,"CommonEvents.json,53,list,69,parameters,0"
我不看，绝对不看！！！』,"CommonEvents.json,53,list,70,parameters,0"
可这决心究竟还能持续多久呢？,"CommonEvents.json,53,list,73,parameters,0"
停止观看,"CommonEvents.json,53,list,81,parameters,1"
"镜子事件1
","CommonEvents.json,53,name"
"镜子事件2
","CommonEvents.json,54,name"
"镜子事件3
","CommonEvents.json,55,name"
"镜子事件4
","CommonEvents.json,56,name"
"镜子事件5
","CommonEvents.json,57,name"
"镜子事件6
","CommonEvents.json,58,name"
